,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-01-12T17:07:14.082+03:00,   0.137E+00,   0.13693,   0.458E+01
      2,2023-01-12T17:07:14.100+03:00,   0.137E+00,   0.27386,   0.459E+01
      3,2023-01-12T17:07:14.121+03:00,   0.137E+00,   0.41079,   0.461E+01
      4,2023-01-12T17:07:14.139+03:00,   0.137E+00,   0.54772,   0.462E+01
      5,2023-01-12T17:07:14.181+03:00,   0.930E-01,   0.64074,   0.467E+01
      6,2023-01-12T17:07:14.217+03:00,   0.717E-01,   0.71241,   0.470E+01
      7,2023-01-12T17:07:14.252+03:00,   0.717E-01,   0.78408,   0.475E+01
      8,2023-01-12T17:07:14.285+03:00,   0.717E-01,   0.85574,   0.478E+01
      9,2023-01-12T17:07:14.378+03:00,   0.456E-01,   0.90135,   0.481E+01
     10,2023-01-12T17:07:14.392+03:00,   0.456E-01,   0.94695,   0.483E+01
     20,2023-01-12T17:07:14.688+03:00,   0.325E-01,   1.32158,   0.508E+01
     30,2023-01-12T17:07:15.290+03:00,   0.253E-01,   1.59316,   0.559E+01
     40,2023-01-12T17:07:15.473+03:00,   0.227E-01,   1.83039,   0.578E+01
     50,2023-01-12T17:07:15.715+03:00,   0.227E-01,   2.05723,   0.597E+01
     60,2023-01-12T17:07:15.999+03:00,   0.227E-01,   2.28407,   0.620E+01
     70,2023-01-12T17:07:16.147+03:00,   0.250E-01,   2.51545,   0.631E+01
     80,2023-01-12T17:07:16.283+03:00,   0.250E-01,   2.76497,   0.645E+01
     90,2023-01-12T17:07:16.445+03:00,   0.250E-01,   3.01450,   0.655E+01
    100,2023-01-12T17:07:16.581+03:00,   0.274E-01,   3.28149,   0.669E+01
    200,2023-01-12T17:07:18.538+03:00,   0.215E-01,   5.79671,   0.828E+01
    300,2023-01-12T17:07:22.236+03:00,   0.279E-01,   8.46377,   0.111E+02
    400,2023-01-12T17:07:24.562+03:00,   0.265E-01,  11.03724,   0.130E+02
    500,2023-01-12T17:07:26.501+03:00,   0.258E-01,  13.67510,   0.147E+02
    549,2023-01-12T17:07:27.255+03:00,   0.264E-01,  15.00000,   0.153E+02
