s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-9.1382684E-004, 3.3306691E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1382684E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0381631E+000, 3.5242962E+001,-1.5692767E+001, 3.1900977E-001,-6.1186726E-002,-7.7875402E-002, 0.0000000E+000, 0.0000000E+000, 1.4800507E+001, 1.9730143E+001, 0.0000000E+000, 8.8234661E-004, 0.0000000E+000
 2.0118649E+000, 7.6657556E+001,-2.6779999E+001, 1.1197107E+000,-1.6303859E-001,-2.5729750E-001, 0.0000000E+000, 0.0000000E+000, 5.0024570E+001, 5.0576932E+001, 0.0000000E+000, 1.6277737E-003, 0.0000000E+000
 3.0144961E+000, 8.1291348E+001,-2.5701920E+001,-4.6194127E+001,-1.8882470E-001,-2.9586830E-001, 0.0000000E+000, 0.0000000E+000, 9.4961613E+000, 8.9106087E+000, 0.0000000E+000, 1.7819888E-003, 0.0000000E+000
 4.0131741E+000, 9.1167324E+001,-2.8820181E+001,-4.7267280E+001,-1.5530100E-001,-3.0377222E-001, 0.0000000E+000, 0.0000000E+000, 1.4394459E+001, 1.4620789E+001, 0.0000000E+000, 1.8053358E-003, 0.0000000E+000
 5.0211687E+000, 8.6814920E+001,-2.7305881E+001,-5.0621375E+001,-2.5406220E-001,-3.0785603E-001, 0.0000000E+000, 0.0000000E+000, 7.7885282E+000, 8.3257463E+000, 0.0000000E+000, 1.8085043E-003, 0.0000000E+000
 6.0050926E+000, 8.7803081E+001,-2.7657729E+001,-5.6366918E+001,-3.8421830E-001,-3.1927385E-001, 0.0000000E+000, 0.0000000E+000, 3.2985326E+000, 3.0749413E+000, 0.0000000E+000, 1.8089328E-003, 0.0000000E+000
 7.0122542E+000, 8.6363115E+001,-2.5880576E+001,-7.0416545E+001,-3.8716330E-001,-3.1815406E-001, 0.0000000E+000, 0.0000000E+000,-1.0434207E+001,-1.0639324E+001, 0.0000000E+000, 1.8089908E-003, 0.0000000E+000
 8.0130348E+000, 8.5088674E+001,-2.7089903E+001,-4.8833091E+001,-2.5349692E-001,-3.1500912E-001, 0.0000000E+000, 0.0000000E+000, 8.5710531E+000, 8.5971725E+000, 0.0000000E+000, 1.8089988E-003, 0.0000000E+000
 9.0226097E+000, 9.0382122E+001,-2.9013260E+001,-5.3703064E+001,-3.4829531E-001,-3.1142262E-001, 0.0000000E+000, 0.0000000E+000, 6.5359475E+000, 7.0060810E+000, 0.0000000E+000, 1.8089998E-003, 0.0000000E+000
 1.0023268E+001, 8.6307939E+001,-2.6228204E+001,-6.4573995E+001,-3.6258997E-001,-3.1444462E-001, 0.0000000E+000, 0.0000000E+000,-4.7875036E+000,-5.1712943E+000, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
 1.1010746E+001, 8.3938695E+001,-2.6643451E+001,-6.3845910E+001,-3.0845839E-001,-3.0947707E-001, 0.0000000E+000, 0.0000000E+000,-7.1882383E+000,-7.1686017E+000, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
 1.2024655E+001, 9.0657454E+001,-2.8974550E+001,-5.6188629E+001,-4.2132669E-001,-3.1210708E-001, 0.0000000E+000, 0.0000000E+000, 4.1380617E+000, 4.7608415E+000, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
 1.3020518E+001, 8.7070470E+001,-2.6879915E+001,-6.2700415E+001,-4.8062421E-001,-3.1820944E-001, 0.0000000E+000, 0.0000000E+000,-2.6786052E+000,-3.3086936E+000, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
 1.4020314E+001, 8.4932405E+001,-2.5902684E+001,-5.9653145E+001,-3.1802817E-001,-3.1545626E-001, 0.0000000E+000, 0.0000000E+000,-1.3162140E+000,-1.2569080E+000, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
 1.5000000E+001, 8.9030141E+001,-2.8010175E+001,-4.8659517E+001,-2.4983196E-001,-3.1528050E-001, 0.0000000E+000, 0.0000000E+000, 1.2125353E+001, 1.1795336E+001, 0.0000000E+000, 1.8090000E-003, 0.0000000E+000
