Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.582E+00, 7.080E-01, 3.230E-01, 9.604E-01, 5.809E-01, 4.317E-01, 9.469E-01, 0.000E+00, 3.294E-01, 9.607E-02, 7.237E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    1, 1.192E+00, 7.129E-01, 3.131E-01, 8.803E-01, 5.972E-01, 4.072E-01, 1.027E+00, 0.000E+00, 3.290E-01, 8.991E-02, 7.651E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    2, 1.320E+00, 1.076E+00, 4.712E-01, 1.300E+00, 7.567E-01, 6.404E-01, 8.492E-01, 0.000E+00, 4.676E-01, 1.404E-01, 6.179E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    3, 1.227E+00, 8.532E-01, 4.074E-01, 1.098E+00, 6.743E-01, 5.015E-01, 9.497E-01, 0.000E+00, 3.851E-01, 1.176E-01, 6.986E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    4, 1.452E+00, 6.803E-01, 3.103E-01, 9.550E-01, 5.642E-01, 4.347E-01, 1.198E+00, 0.000E+00, 3.225E-01, 1.051E-01, 7.178E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    5, 1.187E+00, 6.883E-01, 3.183E-01, 9.465E-01, 5.452E-01, 4.535E-01, 1.294E+00, 0.000E+00, 3.324E-01, 1.220E-01, 7.312E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    6, 1.176E+00, 6.594E-01, 3.052E-01, 8.091E-01, 5.095E-01, 3.967E-01, 1.271E+00, 0.000E+00, 3.091E-01, 1.158E-01, 7.649E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
    7, 1.199E+00, 6.080E-01, 2.734E-01, 8.158E-01, 5.083E-01, 3.716E-01, 1.294E+00, 0.000E+00, 2.954E-01, 1.112E-01, 7.723E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.320E+01
