s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0024595E+000, 3.7820922E+001,-1.3123113E+001, 5.1517688E-001,-3.3140050E-001,-7.2218056E-002, 0.0000000E+000, 0.0000000E+000, 2.4311778E+001, 2.4809367E+001, 0.0000000E+000, 1.0849134E-003, 0.0000000E+000
 2.0012846E+000, 9.7097604E+001,-3.1535202E+001, 3.6494516E-001,-6.2023561E-001,-2.1223017E-001, 0.0000000E+000, 0.0000000E+000, 6.5375693E+001, 6.5094881E+001, 0.0000000E+000, 2.1968362E-003, 0.0000000E+000
 3.0011888E+000, 1.1842674E+002,-3.8656928E+001,-7.5001845E+001,-8.5570854E-001,-2.6456462E-001, 0.0000000E+000, 0.0000000E+000, 4.1874349E+000, 3.6476891E+000, 0.0000000E+000, 2.4248136E-003, 0.0000000E+000
 4.0009127E+000, 1.1574909E+002,-3.7732762E+001,-7.7391351E+001,-7.1229572E-001,-2.5889405E-001, 0.0000000E+000, 0.0000000E+000, 2.2093668E-001,-3.4621229E-001, 0.0000000E+000, 2.4580064E-003, 0.0000000E+000
 5.0011411E+000, 1.1677334E+002,-3.8160664E+001,-8.6016733E+001,-7.3804055E-001,-2.5812827E-001, 0.0000000E+000, 0.0000000E+000,-7.9179324E+000,-8.4002282E+000, 0.0000000E+000, 2.4625450E-003, 0.0000000E+000
 6.0014749E+000, 1.2009901E+002,-3.9123332E+001,-7.1303231E+001,-6.5239425E-001,-2.5166836E-001, 0.0000000E+000, 0.0000000E+000, 9.2343590E+000, 8.7683862E+000, 0.0000000E+000, 2.4631603E-003, 0.0000000E+000
 7.0010891E+000, 1.1853741E+002,-3.8688051E+001,-8.5898476E+001,-6.6666796E-001,-2.5433079E-001, 0.0000000E+000, 0.0000000E+000,-6.4605291E+000,-6.9701141E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0012589E+000, 1.1731866E+002,-3.8246166E+001,-7.8429855E+001,-6.8039795E-001,-2.5554780E-001, 0.0000000E+000, 0.0000000E+000, 2.1143815E-001,-2.9330524E-001, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0004044E+000, 1.2036370E+002,-3.9391352E+001,-8.0864318E+001,-7.3056316E-001,-2.5509621E-001, 0.0000000E+000, 0.0000000E+000,-3.8341435E-001,-8.7762479E-001, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0000686E+001, 1.1798341E+002,-3.8538622E+001,-7.7211266E+001,-6.9466762E-001,-2.5413017E-001, 0.0000000E+000, 0.0000000E+000, 1.8552322E+000, 1.2847285E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000145E+001, 1.2105242E+002,-3.9612397E+001,-8.8134230E+001,-7.1655911E-001,-2.6006994E-001, 0.0000000E+000, 0.0000000E+000,-7.0709218E+000,-7.6708350E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000766E+001, 1.1788559E+002,-3.8416062E+001,-7.0920266E+001,-7.3416218E-001,-2.5316568E-001, 0.0000000E+000, 0.0000000E+000, 8.0485345E+000, 7.5619390E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000716E+001, 1.1930566E+002,-3.9004917E+001,-8.4254019E+001,-7.7011843E-001,-2.6193670E-001, 0.0000000E+000, 0.0000000E+000,-4.4032652E+000,-4.9853272E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001089E+001, 1.1843320E+002,-3.8765857E+001,-8.2328598E+001,-7.3348270E-001,-2.6309903E-001, 0.0000000E+000, 0.0000000E+000,-3.0519397E+000,-3.6578402E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1786808E+002,-3.8333487E+001,-7.6693141E+001,-6.9137953E-001,-2.5109544E-001, 0.0000000E+000, 0.0000000E+000, 2.4253562E+000, 1.8989791E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
