Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.723E+01, 5.323E+02, 2.771E+02, 5.082E+02, 3.958E+02, 1.418E+02, 8.340E+01, 0.000E+00, 7.900E+03, 7.684E+00, 1.464E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    1, 1.966E+01, 5.916E+02, 2.742E+02, 4.654E+02, 4.009E+02, 1.362E+02, 5.709E+01, 0.000E+00, 7.749E+03, 1.061E+01, 1.623E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    2, 2.201E+01, 5.579E+02, 2.732E+02, 4.551E+02, 4.017E+02, 1.349E+02, 5.321E+01, 0.000E+00, 7.778E+03, 1.629E+01, 1.635E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    3, 2.073E+01, 6.045E+02, 2.765E+02, 4.708E+02, 4.076E+02, 1.373E+02, 4.986E+01, 0.000E+00, 7.653E+03, 1.563E+01, 1.692E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    4, 2.420E+01, 6.312E+02, 2.762E+02, 5.028E+02, 3.940E+02, 1.362E+02, 9.133E+01, 0.000E+00, 7.627E+03, 1.292E+01, 1.632E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    5, 1.308E+01, 5.263E+02, 2.863E+02, 5.094E+02, 3.882E+02, 1.389E+02, 4.050E+01, 0.000E+00, 7.937E+03, 2.679E+01, 1.461E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    6, 1.479E+01, 5.081E+02, 2.874E+02, 4.132E+02, 3.723E+02, 1.339E+02, 1.688E+01, 0.000E+00, 7.903E+03, 3.695E+01, 1.641E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    7, 1.807E+01, 6.073E+02, 2.895E+02, 4.004E+02, 3.851E+02, 1.345E+02, 1.673E+01, 0.000E+00, 7.729E+03, 4.486E+01, 1.702E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    8, 1.749E+01, 5.806E+02, 2.896E+02, 4.368E+02, 3.910E+02, 1.328E+02, 2.159E+01, 0.000E+00, 7.663E+03, 4.435E+01, 1.750E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
    9, 1.959E+01, 5.970E+02, 2.840E+02, 4.552E+02, 3.959E+02, 1.337E+02, 3.210E+01, 0.000E+00, 7.661E+03, 3.405E+01, 1.715E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.133E+04
