s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.4907942E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4909210E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0017267E+000, 3.7769454E+001,-1.2830584E+001, 5.1722909E-001,-3.4072411E-001,-7.2200758E-002, 0.0000000E+000, 0.0000000E+000, 2.4534458E+001, 2.5043174E+001, 0.0000000E+000, 1.0841756E-003, 0.0000000E+000
 2.0013130E+000, 9.7104043E+001,-3.1247833E+001,-2.1078089E+000,-5.9207369E-001,-2.0999473E-001, 0.0000000E+000, 0.0000000E+000, 6.3064138E+001, 6.2946333E+001, 0.0000000E+000, 2.1966269E-003, 0.0000000E+000
 3.0020330E+000, 1.1793607E+002,-3.8164378E+001,-7.4772284E+001,-7.6891433E-001,-2.5996994E-001, 0.0000000E+000, 0.0000000E+000, 4.5034468E+000, 3.9705203E+000, 0.0000000E+000, 2.4248426E-003, 0.0000000E+000
 4.0004358E+000, 1.1806379E+002,-3.8294604E+001,-7.9878940E+001,-7.0433828E-001,-2.6210488E-001, 0.0000000E+000, 0.0000000E+000,-7.4775601E-001,-1.0761968E+000, 0.0000000E+000, 2.4580105E-003, 0.0000000E+000
 5.0015526E+000, 1.1739030E+002,-3.8032958E+001,-7.6810648E+001,-6.8054145E-001,-2.5986537E-001, 0.0000000E+000, 0.0000000E+000, 2.1522101E+000, 1.6062879E+000, 0.0000000E+000, 2.4625447E-003, 0.0000000E+000
 6.0002995E+000, 1.1642623E+002,-3.7751463E+001,-7.5612862E+001,-6.8856898E-001,-2.5337020E-001, 0.0000000E+000, 0.0000000E+000, 2.6445286E+000, 2.1199686E+000, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0011888E+000, 1.2081016E+002,-3.9116589E+001,-8.8652290E+001,-7.9208406E-001,-2.5651385E-001, 0.0000000E+000, 0.0000000E+000,-7.3813926E+000,-8.0073187E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0007992E+000, 1.1780995E+002,-3.8163583E+001,-7.8116642E+001,-7.0713724E-001,-2.5281769E-001, 0.0000000E+000, 0.0000000E+000, 1.1691630E+000, 5.6977054E-001, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0004473E+000, 1.1722147E+002,-3.7904773E+001,-7.7817299E+001,-6.7206138E-001,-2.5183106E-001, 0.0000000E+000, 0.0000000E+000, 1.2435961E+000, 5.7550132E-001, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001731E+001, 1.2023714E+002,-3.8991093E+001,-8.0918435E+001,-7.0651904E-001,-2.5631579E-001, 0.0000000E+000, 0.0000000E+000,-8.2368266E-002,-6.3522312E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000504E+001, 1.2039324E+002,-3.8956099E+001,-7.8209827E+001,-6.9257535E-001,-2.6083567E-001, 0.0000000E+000, 0.0000000E+000, 2.7728721E+000, 2.2739044E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001459E+001, 1.1590465E+002,-3.7593857E+001,-8.2586246E+001,-6.8779422E-001,-2.5777866E-001, 0.0000000E+000, 0.0000000E+000,-4.6997736E+000,-5.2210213E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000247E+001, 1.2028886E+002,-3.8897251E+001,-8.7459607E+001,-6.8192443E-001,-2.5393089E-001, 0.0000000E+000, 0.0000000E+000,-6.4747986E+000,-7.0038568E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001953E+001, 1.1754004E+002,-3.8053349E+001,-6.8646348E+001,-6.8238862E-001,-2.5760457E-001, 0.0000000E+000, 0.0000000E+000, 1.0395552E+001, 9.9003551E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.2079315E+002,-3.9050821E+001,-7.9196686E+001,-7.1903694E-001,-2.6005926E-001, 0.0000000E+000, 0.0000000E+000, 2.1349165E+000, 1.5665422E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
