s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5315578E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5316846E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0014417E+000, 3.7742874E+001,-1.2827811E+001, 5.1671458E-001,-3.4063956E-001,-7.2173832E-002, 0.0000000E+000, 0.0000000E+000, 2.4509116E+001, 2.5018964E+001, 0.0000000E+000, 1.0839495E-003, 0.0000000E+000
 2.0006862E+000, 9.7063977E+001,-3.1259432E+001,-2.3298808E+000,-5.9204497E-001,-2.1015990E-001, 0.0000000E+000, 0.0000000E+000, 6.2764790E+001, 6.2672459E+001, 0.0000000E+000, 2.1964247E-003, 0.0000000E+000
 3.0004323E+000, 1.1788384E+002,-3.8167927E+001,-7.4449283E+001,-7.3016664E-001,-2.5768752E-001, 0.0000000E+000, 0.0000000E+000, 4.7871902E+000, 4.2787725E+000, 0.0000000E+000, 2.4247674E-003, 0.0000000E+000
 4.0016370E+000, 1.1618345E+002,-3.7582351E+001,-8.5223744E+001,-7.0103558E-001,-2.5558787E-001, 0.0000000E+000, 0.0000000E+000,-7.1107597E+000,-7.5792706E+000, 0.0000000E+000, 2.4580038E-003, 0.0000000E+000
 5.0005145E+000, 1.1783229E+002,-3.8238394E+001,-6.9773832E+001,-6.9129465E-001,-2.5402942E-001, 0.0000000E+000, 0.0000000E+000, 9.2577745E+000, 8.8747359E+000, 0.0000000E+000, 2.4625454E-003, 0.0000000E+000
 6.0015125E+000, 1.1788349E+002,-3.8207793E+001,-7.6452203E+001,-6.7730212E-001,-2.5360372E-001, 0.0000000E+000, 0.0000000E+000, 2.8064715E+000, 2.2925850E+000, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0017934E+000, 1.1889648E+002,-3.8589474E+001,-8.8177838E+001,-6.9572094E-001,-2.4800814E-001, 0.0000000E+000, 0.0000000E+000,-8.2142554E+000,-8.8145599E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0010109E+000, 1.2095774E+002,-3.9101174E+001,-8.4883253E+001,-6.6499917E-001,-2.5451119E-001, 0.0000000E+000, 0.0000000E+000,-3.3792641E+000,-3.9462006E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0010586E+000, 1.1761545E+002,-3.8137668E+001,-7.8454636E+001,-6.8473796E-001,-2.5623144E-001, 0.0000000E+000, 0.0000000E+000, 5.5691122E-001, 8.2179232E-002, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0000995E+001, 1.1960574E+002,-3.8687337E+001,-7.1544910E+001,-6.6563462E-001,-2.5564494E-001, 0.0000000E+000, 0.0000000E+000, 8.9355157E+000, 8.4522123E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000337E+001, 1.1813701E+002,-3.8269477E+001,-9.4523181E+001,-7.4895140E-001,-2.6115608E-001, 0.0000000E+000, 0.0000000E+000,-1.5033458E+001,-1.5665752E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001566E+001, 1.1721009E+002,-3.7864478E+001,-6.0600671E+001,-6.5314139E-001,-2.5554504E-001, 0.0000000E+000, 0.0000000E+000, 1.8264229E+001, 1.7836257E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000537E+001, 1.1959422E+002,-3.8733739E+001,-9.1723609E+001,-7.0578499E-001,-2.5392298E-001, 0.0000000E+000, 0.0000000E+000,-1.1179865E+001,-1.1822840E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000149E+001, 1.1779688E+002,-3.8257587E+001,-7.9605769E+001,-6.6052466E-001,-2.5332919E-001, 0.0000000E+000, 0.0000000E+000,-4.5156207E-001,-9.8032765E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.2116611E+002,-3.9122700E+001,-8.5073357E+001,-6.8917893E-001,-2.5251523E-001, 0.0000000E+000, 0.0000000E+000,-3.5070293E+000,-3.9716374E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
