Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.892E+01, 6.048E+02, 2.991E+02, 5.769E+02, 4.704E+02, 1.656E+02, 9.221E+01, 0.000E+00, 1.247E+04, 1.024E+01, 7.420E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    1, 2.169E+01, 7.136E+02, 2.946E+02, 5.438E+02, 4.814E+02, 1.639E+02, 5.847E+01, 0.000E+00, 1.200E+04, 1.107E+01, 1.159E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    2, 2.209E+01, 6.788E+02, 3.021E+02, 5.447E+02, 4.803E+02, 1.647E+02, 4.692E+01, 0.000E+00, 1.216E+04, 1.934E+01, 1.035E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    3, 2.155E+01, 7.005E+02, 3.022E+02, 5.349E+02, 4.842E+02, 1.649E+02, 4.617E+01, 0.000E+00, 1.210E+04, 1.972E+01, 1.076E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    4, 2.661E+01, 7.140E+02, 2.974E+02, 5.619E+02, 4.595E+02, 1.633E+02, 1.009E+02, 0.000E+00, 1.213E+04, 1.709E+01, 9.780E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    5, 1.444E+01, 5.969E+02, 3.083E+02, 5.852E+02, 4.678E+02, 1.667E+02, 4.764E+01, 0.000E+00, 1.248E+04, 3.061E+01, 7.589E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    6, 1.552E+01, 6.358E+02, 3.103E+02, 5.281E+02, 4.682E+02, 1.611E+02, 1.294E+01, 0.000E+00, 1.224E+04, 4.218E+01, 1.033E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    7, 1.937E+01, 6.824E+02, 3.110E+02, 4.602E+02, 4.485E+02, 1.629E+02, 1.389E+01, 0.000E+00, 1.217E+04, 5.014E+01, 1.132E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    8, 1.734E+01, 5.999E+02, 3.134E+02, 5.435E+02, 4.838E+02, 1.612E+02, 1.848E+01, 0.000E+00, 1.239E+04, 4.857E+01, 8.796E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
    9, 2.065E+01, 6.900E+02, 3.054E+02, 5.401E+02, 4.625E+02, 1.621E+02, 4.061E+01, 0.000E+00, 1.217E+04, 3.737E+01, 1.018E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.545E+04
