Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.929E+01, 5.485E+02, 2.807E+02, 5.185E+02, 4.072E+02, 1.463E+02, 6.467E+01, 0.000E+00, 4.157E+03, 8.861E+00, 6.784E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    1, 2.627E+01, 5.728E+02, 2.715E+02, 4.669E+02, 4.136E+02, 1.386E+02, 4.716E+01, 0.000E+00, 4.004E+03, 1.069E+01, 8.773E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    2, 2.754E+01, 5.727E+02, 2.783E+02, 4.774E+02, 4.181E+02, 1.407E+02, 4.661E+01, 0.000E+00, 3.983E+03, 1.526E+01, 8.697E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    3, 2.763E+01, 5.733E+02, 2.787E+02, 4.642E+02, 4.145E+02, 1.398E+02, 4.601E+01, 0.000E+00, 4.002E+03, 1.934E+01, 8.640E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    4, 3.733E+01, 6.060E+02, 2.746E+02, 4.991E+02, 4.029E+02, 1.380E+02, 7.045E+01, 0.000E+00, 3.968E+03, 1.376E+01, 8.188E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    5, 1.957E+01, 5.247E+02, 2.866E+02, 5.051E+02, 3.905E+02, 1.421E+02, 3.288E+01, 0.000E+00, 4.127E+03, 2.700E+01, 7.738E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    6, 2.336E+01, 5.472E+02, 2.867E+02, 4.364E+02, 3.866E+02, 1.359E+02, 2.161E+01, 0.000E+00, 4.033E+03, 3.732E+01, 9.213E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    7, 2.527E+01, 5.657E+02, 2.881E+02, 4.262E+02, 3.854E+02, 1.365E+02, 2.197E+01, 0.000E+00, 4.010E+03, 4.401E+01, 9.256E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    8, 3.086E+01, 5.511E+02, 2.885E+02, 4.606E+02, 4.012E+02, 1.350E+02, 2.353E+01, 0.000E+00, 4.011E+03, 4.495E+01, 8.825E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
    9, 2.982E+01, 5.818E+02, 2.844E+02, 4.591E+02, 4.042E+02, 1.374E+02, 3.061E+01, 0.000E+00, 3.988E+03, 3.482E+01, 8.793E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.829E+03
