s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5290138E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5291407E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0018249E+000, 3.7768622E+001,-1.2834125E+001, 5.1720194E-001,-3.4075059E-001,-7.2210156E-002, 0.0000000E+000, 0.0000000E+000, 2.4529797E+001, 2.5038738E+001, 0.0000000E+000, 1.0842533E-003, 0.0000000E+000
 2.0004168E+000, 9.7043306E+001,-3.1239540E+001,-1.4788237E+000,-5.9221059E-001,-2.0982456E-001, 0.0000000E+000, 0.0000000E+000, 6.3612404E+001, 6.3522908E+001, 0.0000000E+000, 2.1964965E-003, 0.0000000E+000
 3.0001705E+000, 1.1700762E+002,-3.7873472E+001,-7.3461696E+001,-8.0751226E-001,-2.6065542E-001, 0.0000000E+000, 0.0000000E+000, 5.2218321E+000, 4.6042871E+000, 0.0000000E+000, 2.4247478E-003, 0.0000000E+000
 4.0013218E+000, 1.1642915E+002,-3.7695151E+001,-8.3888592E+001,-7.1185284E-001,-2.5681511E-001, 0.0000000E+000, 0.0000000E+000,-5.7500434E+000,-6.1232590E+000, 0.0000000E+000, 2.4580007E-003, 0.0000000E+000
 5.0001664E+000, 1.1700905E+002,-3.7971670E+001,-7.6315908E+001,-6.7724403E-001,-2.5785797E-001, 0.0000000E+000, 0.0000000E+000, 2.2853049E+000, 1.7863709E+000, 0.0000000E+000, 2.4625448E-003, 0.0000000E+000
 6.0011716E+000, 1.1788347E+002,-3.8094299E+001,-7.9972599E+001,-6.8015185E-001,-2.4466359E-001, 0.0000000E+000, 0.0000000E+000,-5.4262705E-001,-1.1082483E+000, 0.0000000E+000, 2.4631601E-003, 0.0000000E+000
 7.0013275E+000, 1.2048028E+002,-3.8915393E+001,-8.6137167E+001,-6.7290605E-001,-2.5195865E-001, 0.0000000E+000, 0.0000000E+000,-5.0125057E+000,-5.4971454E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0010767E+000, 1.1860862E+002,-3.8444037E+001,-7.7345257E+001,-6.5101614E-001,-2.5423082E-001, 0.0000000E+000, 0.0000000E+000, 2.3354053E+000, 1.9140763E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0016832E+000, 1.1878345E+002,-3.8362838E+001,-7.4494795E+001,-6.6863075E-001,-2.4961772E-001, 0.0000000E+000, 0.0000000E+000, 5.4675328E+000, 5.0075683E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001104E+001, 1.2092936E+002,-3.9331734E+001,-8.5553628E+001,-6.9947522E-001,-2.5425873E-001, 0.0000000E+000, 0.0000000E+000,-4.3032907E+000,-4.9097346E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1001580E+001, 1.1669988E+002,-3.7817112E+001,-8.1271003E+001,-6.9583884E-001,-2.5715721E-001, 0.0000000E+000, 0.0000000E+000,-2.9799603E+000,-3.3412355E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001009E+001, 1.1998641E+002,-3.8845916E+001,-7.1585771E+001,-7.6038387E-001,-2.5821502E-001, 0.0000000E+000, 0.0000000E+000, 9.0910799E+000, 8.5361257E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000542E+001, 1.1853041E+002,-3.8334295E+001,-9.3166316E+001,-7.1113192E-001,-2.5889788E-001, 0.0000000E+000, 0.0000000E+000,-1.3485082E+001,-1.3940227E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000607E+001, 1.1935671E+002,-3.8551345E+001,-6.4533679E+001,-6.4379787E-001,-2.5895733E-001, 0.0000000E+000, 0.0000000E+000, 1.5712477E+001, 1.5368935E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1901063E+002,-3.8566687E+001,-9.1550057E+001,-6.7273885E-001,-2.6043152E-001, 0.0000000E+000, 0.0000000E+000,-1.1474414E+001,-1.2039280E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
