Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.738E+01, 6.406E+02, 3.161E+02, 6.521E+02, 5.192E+02, 1.958E+02, 1.528E+02, 0.000E+00, 1.990E+04, 9.649E+00, 9.059E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    1, 3.008E+01, 7.396E+02, 3.098E+02, 5.877E+02, 5.239E+02, 1.814E+02, 1.059E+02, 0.000E+00, 1.954E+04, 1.369E+01, 1.283E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    2, 3.078E+01, 6.547E+02, 3.167E+02, 6.031E+02, 5.280E+02, 1.848E+02, 8.753E+01, 0.000E+00, 1.970E+04, 1.898E+01, 1.195E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    3, 3.037E+01, 7.849E+02, 3.180E+02, 5.814E+02, 5.333E+02, 1.834E+02, 8.767E+01, 0.000E+00, 1.939E+04, 2.358E+01, 1.387E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    4, 3.614E+01, 7.726E+02, 3.089E+02, 6.142E+02, 5.044E+02, 1.798E+02, 1.641E+02, 0.000E+00, 1.930E+04, 1.802E+01, 1.418E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    5, 2.140E+01, 6.500E+02, 3.229E+02, 6.521E+02, 5.122E+02, 1.838E+02, 7.765E+01, 0.000E+00, 1.988E+04, 3.385E+01, 9.810E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    6, 2.352E+01, 6.779E+02, 3.228E+02, 5.400E+02, 5.095E+02, 1.791E+02, 2.846E+01, 0.000E+00, 1.961E+04, 4.591E+01, 1.385E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    7, 2.709E+01, 7.175E+02, 3.233E+02, 5.528E+02, 5.231E+02, 1.798E+02, 2.850E+01, 0.000E+00, 1.951E+04, 5.286E+01, 1.406E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    8, 2.662E+01, 6.866E+02, 3.259E+02, 5.621E+02, 5.227E+02, 1.778E+02, 3.309E+01, 0.000E+00, 1.945E+04, 5.393E+01, 1.483E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
    9, 3.033E+01, 8.080E+02, 3.203E+02, 5.618E+02, 5.187E+02, 1.777E+02, 5.081E+01, 0.000E+00, 1.909E+04, 4.281E+01, 1.721E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.332E+04
