Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.821E+01, 3.040E+02, 1.824E+02, 4.237E+02, 1.969E+02, 1.067E+02, 8.961E+01, 0.000E+00, 3.401E+03, 7.403E+00, 1.832E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    1, 1.730E+01, 2.918E+02, 1.747E+02, 3.632E+02, 2.093E+02, 1.151E+02, 6.846E+01, 0.000E+00, 3.322E+03, 8.306E+00, 1.991E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    2, 1.975E+01, 2.910E+02, 1.803E+02, 3.710E+02, 2.112E+02, 1.162E+02, 6.247E+01, 0.000E+00, 3.312E+03, 9.811E+00, 1.988E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    3, 2.046E+01, 3.008E+02, 1.868E+02, 3.673E+02, 2.129E+02, 1.154E+02, 6.598E+01, 0.000E+00, 3.287E+03, 1.037E+01, 1.994E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    4, 2.292E+01, 2.975E+02, 1.561E+02, 3.713E+02, 2.152E+02, 1.050E+02, 1.037E+02, 0.000E+00, 3.128E+03, 9.668E+00, 2.152E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    5, 1.361E+01, 2.922E+02, 1.813E+02, 3.989E+02, 1.841E+02, 1.192E+02, 5.247E+01, 0.000E+00, 3.472E+03, 1.753E+01, 1.830E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    6, 1.507E+01, 2.880E+02, 1.855E+02, 3.377E+02, 2.015E+02, 1.304E+02, 2.167E+01, 0.000E+00, 3.409E+03, 2.611E+01, 1.946E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    7, 1.879E+01, 2.859E+02, 1.862E+02, 3.234E+02, 2.005E+02, 1.303E+02, 2.495E+01, 0.000E+00, 3.404E+03, 3.315E+01, 1.954E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    8, 1.829E+01, 2.832E+02, 1.850E+02, 3.414E+02, 2.027E+02, 1.279E+02, 2.639E+01, 0.000E+00, 3.389E+03, 3.202E+01, 1.956E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
    9, 2.024E+01, 2.938E+02, 1.852E+02, 3.514E+02, 2.113E+02, 1.158E+02, 3.737E+01, 0.000E+00, 3.370E+03, 2.448E+01, 1.952E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   10, 1.514E+01, 2.796E+02, 1.749E+02, 3.776E+02, 1.859E+02, 1.094E+02, 3.149E+01, 0.000E+00, 3.200E+03, 1.855E+01, 2.169E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   11, 1.731E+01, 2.887E+02, 1.614E+02, 3.029E+02, 1.919E+02, 1.169E+02, 2.334E+01, 0.000E+00, 3.055E+03, 2.486E+01, 2.379E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   12, 1.988E+01, 2.899E+02, 1.630E+02, 3.050E+02, 1.995E+02, 1.178E+02, 1.974E+01, 0.000E+00, 3.010E+03, 2.990E+01, 2.407E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   13, 2.098E+01, 2.803E+02, 1.695E+02, 3.044E+02, 1.996E+02, 1.198E+02, 2.114E+01, 0.000E+00, 3.069E+03, 3.228E+01, 2.345E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   14, 1.990E+01, 3.025E+02, 1.680E+02, 3.406E+02, 2.042E+02, 1.041E+02, 4.402E+01, 0.000E+00, 2.937E+03, 2.442E+01, 2.417E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   15, 1.515E+01, 2.943E+02, 1.818E+02, 3.823E+02, 1.980E+02, 1.041E+02, 6.258E+01, 0.000E+00, 3.317E+03, 6.868E+00, 2.000E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   16, 2.135E+01, 2.638E+02, 1.432E+02, 2.725E+02, 1.900E+02, 1.022E+02, 6.081E+01, 0.000E+00, 2.787E+03, 7.252E+00, 2.714E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   17, 3.260E+01, 2.511E+02, 1.259E+02, 2.535E+02, 1.759E+02, 9.835E+01, 6.756E+01, 0.000E+00, 1.975E+03, 1.315E+01, 3.568E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   18, 3.835E+01, 2.403E+02, 1.199E+02, 2.536E+02, 1.721E+02, 9.881E+01, 7.429E+01, 0.000E+00, 1.719E+03, 1.469E+01, 3.831E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   19, 3.714E+01, 2.205E+02, 1.129E+02, 2.467E+02, 1.756E+02, 9.860E+01, 1.211E+02, 0.000E+00, 1.825E+03, 1.337E+01, 3.711E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   20, 1.738E+01, 2.715E+02, 1.817E+02, 3.519E+02, 1.932E+02, 1.015E+02, 1.145E+02, 0.000E+00, 3.249E+03, 6.093E+00, 2.075E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   21, 2.132E+01, 2.952E+02, 1.806E+02, 3.346E+02, 2.075E+02, 1.160E+02, 7.539E+01, 0.000E+00, 3.154E+03, 8.464E+00, 2.169E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   22, 2.232E+01, 2.882E+02, 1.678E+02, 3.153E+02, 2.073E+02, 1.111E+02, 6.865E+01, 0.000E+00, 3.110E+03, 9.361E+00, 2.262E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   23, 2.151E+01, 2.903E+02, 1.850E+02, 3.287E+02, 2.094E+02, 1.174E+02, 6.775E+01, 0.000E+00, 3.122E+03, 1.016E+01, 2.209E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   24, 2.541E+01, 2.992E+02, 1.698E+02, 3.255E+02, 2.134E+02, 1.019E+02, 1.192E+02, 0.000E+00, 3.086E+03, 9.150E+00, 2.212E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   25, 1.358E+01, 2.812E+02, 1.861E+02, 3.877E+02, 1.838E+02, 1.237E+02, 6.993E+01, 0.000E+00, 3.322E+03, 1.584E+01, 1.978E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   26, 1.658E+01, 2.683E+02, 1.721E+02, 3.010E+02, 1.873E+02, 1.249E+02, 3.042E+01, 0.000E+00, 3.288E+03, 2.366E+01, 2.150E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   27, 2.017E+01, 2.927E+02, 1.882E+02, 3.127E+02, 2.008E+02, 1.295E+02, 3.062E+01, 0.000E+00, 3.184E+03, 3.193E+01, 2.171E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   28, 1.939E+01, 2.719E+02, 1.735E+02, 3.139E+02, 1.896E+02, 1.233E+02, 3.460E+01, 0.000E+00, 3.198E+03, 3.043E+01, 2.207E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   29, 2.136E+01, 3.039E+02, 1.866E+02, 3.308E+02, 2.064E+02, 1.157E+02, 4.655E+01, 0.000E+00, 3.109E+03, 2.348E+01, 2.217E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
   30, 1.703E+01, 2.760E+02, 1.747E+02, 3.458E+02, 1.773E+02, 1.074E+02, 4.988E+01, 0.000E+00, 3.104E+03, 1.452E+01, 2.295E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.562E+03
