,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-01-30T15:29:55.592+03:00,   0.274E-01,   0.02739,   0.966E+01
      2,2023-01-30T15:29:56.415+03:00,   0.274E-01,   0.05477,   0.105E+02
      3,2023-01-30T15:29:57.250+03:00,   0.274E-01,   0.08216,   0.113E+02
      4,2023-01-30T15:29:57.996+03:00,   0.274E-01,   0.10954,   0.120E+02
      5,2023-01-30T15:29:58.773+03:00,   0.274E-01,   0.13693,   0.128E+02
      6,2023-01-30T15:29:59.548+03:00,   0.274E-01,   0.16432,   0.136E+02
      7,2023-01-30T15:30:00.321+03:00,   0.274E-01,   0.19170,   0.144E+02
      8,2023-01-30T15:30:01.128+03:00,   0.274E-01,   0.21909,   0.152E+02
      9,2023-01-30T15:30:01.908+03:00,   0.274E-01,   0.24648,   0.160E+02
     10,2023-01-30T15:30:02.696+03:00,   0.274E-01,   0.27386,   0.168E+02
     20,2023-01-30T15:30:10.756+03:00,   0.115E-01,   0.44076,   0.248E+02
     30,2023-01-30T15:30:18.249+03:00,   0.771E-02,   0.53701,   0.323E+02
     40,2023-01-30T15:30:25.434+03:00,   0.687E-02,   0.60992,   0.395E+02
     50,2023-01-30T15:30:32.762+03:00,   0.552E-02,   0.66845,   0.468E+02
     60,2023-01-30T15:30:39.974+03:00,   0.496E-02,   0.72256,   0.540E+02
     70,2023-01-30T15:30:47.246+03:00,   0.441E-02,   0.76832,   0.613E+02
     80,2023-01-30T15:30:54.506+03:00,   0.392E-02,   0.80947,   0.686E+02
     90,2023-01-30T15:31:01.742+03:00,   0.392E-02,   0.84867,   0.758E+02
    100,2023-01-30T15:31:09.110+03:00,   0.316E-02,   0.88272,   0.832E+02
    200,2023-01-30T15:32:22.100+03:00,   0.216E-02,   1.15361,   0.156E+03
    300,2023-01-30T15:33:35.255+03:00,   0.187E-02,   1.36227,   0.229E+03
    400,2023-01-30T15:34:48.075+03:00,   0.179E-02,   1.53049,   0.302E+03
    500,2023-01-30T15:36:02.446+03:00,   0.197E-02,   1.72645,   0.376E+03
    600,2023-01-30T15:37:15.872+03:00,   0.217E-02,   1.92839,   0.450E+03
    700,2023-01-30T15:38:28.843+03:00,   0.215E-02,   2.14721,   0.523E+03
    800,2023-01-30T15:39:41.400+03:00,   0.199E-02,   2.35260,   0.595E+03
    900,2023-01-30T15:40:54.603+03:00,   0.216E-02,   2.55890,   0.669E+03
   1000,2023-01-30T15:42:07.925+03:00,   0.209E-02,   2.75550,   0.742E+03
   1100,2023-01-30T15:43:20.708+03:00,   0.205E-02,   2.95587,   0.815E+03
   1200,2023-01-30T15:44:33.735+03:00,   0.202E-02,   3.15871,   0.888E+03
   1300,2023-01-30T15:45:46.673+03:00,   0.214E-02,   3.34873,   0.961E+03
   1400,2023-01-30T15:47:00.428+03:00,   0.183E-02,   3.55921,   0.103E+04
   1500,2023-01-30T15:48:12.982+03:00,   0.222E-02,   3.76307,   0.111E+04
   1600,2023-01-30T15:49:25.958+03:00,   0.175E-02,   3.95585,   0.118E+04
   1700,2023-01-30T15:50:38.467+03:00,   0.227E-02,   4.16352,   0.125E+04
   1800,2023-01-30T15:51:51.285+03:00,   0.203E-02,   4.36706,   0.133E+04
   1900,2023-01-30T15:53:03.740+03:00,   0.221E-02,   4.57393,   0.140E+04
   2000,2023-01-30T15:54:16.272+03:00,   0.174E-02,   4.76039,   0.147E+04
   2100,2023-01-30T15:55:27.778+03:00,   0.207E-02,   4.96202,   0.154E+04
   2200,2023-01-30T15:56:38.584+03:00,   0.185E-02,   5.15924,   0.161E+04
   2300,2023-01-30T15:57:49.029+03:00,   0.199E-02,   5.35810,   0.168E+04
   2400,2023-01-30T15:59:15.914+03:00,   0.215E-02,   5.57571,   0.177E+04
   2500,2023-01-30T16:01:30.505+03:00,   0.211E-02,   5.78291,   0.190E+04
   2600,2023-01-30T16:03:26.408+03:00,   0.204E-02,   5.99242,   0.202E+04
   2700,2023-01-30T16:05:32.050+03:00,   0.220E-02,   6.19629,   0.215E+04
   2800,2023-01-30T16:07:35.062+03:00,   0.215E-02,   6.40338,   0.226E+04
   2900,2023-01-30T16:09:32.964+03:00,   0.212E-02,   6.60420,   0.238E+04
   3000,2023-01-30T16:11:37.976+03:00,   0.253E-02,   6.82343,   0.251E+04
   3100,2023-01-30T16:13:44.448+03:00,   0.204E-02,   7.03162,   0.263E+04
   3200,2023-01-30T16:15:44.890+03:00,   0.238E-02,   7.25169,   0.275E+04
   3300,2023-01-30T16:17:47.783+03:00,   0.197E-02,   7.43704,   0.287E+04
   3400,2023-01-30T16:19:43.435+03:00,   0.173E-02,   7.63615,   0.298E+04
   3500,2023-01-30T16:21:38.578+03:00,   0.190E-02,   7.82385,   0.310E+04
   3600,2023-01-30T16:23:38.130+03:00,   0.209E-02,   8.03089,   0.322E+04
   3700,2023-01-30T16:25:44.662+03:00,   0.226E-02,   8.23990,   0.334E+04
   3800,2023-01-30T16:27:42.985+03:00,   0.194E-02,   8.43545,   0.346E+04
   3900,2023-01-30T16:29:43.687+03:00,   0.207E-02,   8.64389,   0.357E+04
   4000,2023-01-30T16:31:39.950+03:00,   0.202E-02,   8.84251,   0.369E+04
   4100,2023-01-30T16:33:36.162+03:00,   0.198E-02,   9.05544,   0.381E+04
   4200,2023-01-30T16:35:31.915+03:00,   0.224E-02,   9.24212,   0.392E+04
   4300,2023-01-30T16:37:30.017+03:00,   0.169E-02,   9.46086,   0.404E+04
   4400,2023-01-30T16:39:26.430+03:00,   0.181E-02,   9.65423,   0.416E+04
   4500,2023-01-30T16:41:27.622+03:00,   0.196E-02,   9.85855,   0.428E+04
   4600,2023-01-30T16:43:26.844+03:00,   0.210E-02,  10.04473,   0.439E+04
   4700,2023-01-30T16:45:22.827+03:00,   0.181E-02,  10.23911,   0.451E+04
   4800,2023-01-30T16:47:19.880+03:00,   0.191E-02,  10.43527,   0.462E+04
   4900,2023-01-30T16:49:15.922+03:00,   0.180E-02,  10.64110,   0.474E+04
   5000,2023-01-30T16:51:12.195+03:00,   0.220E-02,  10.83400,   0.486E+04
   5100,2023-01-30T16:53:07.167+03:00,   0.215E-02,  11.03495,   0.497E+04
   5200,2023-01-30T16:55:38.748+03:00,   0.198E-02,  11.23521,   0.509E+04
   5300,2023-01-30T16:57:54.059+03:00,   0.198E-02,  11.43363,   0.521E+04
   5400,2023-01-30T16:59:35.483+03:00,   0.196E-02,  11.64473,   0.530E+04
   5500,2023-01-30T17:00:47.868+03:00,   0.161E-02,  11.82632,   0.537E+04
   5600,2023-01-30T17:01:59.523+03:00,   0.191E-02,  12.02311,   0.545E+04
   5700,2023-01-30T17:03:11.249+03:00,   0.207E-02,  12.21058,   0.552E+04
   5800,2023-01-30T17:04:23.254+03:00,   0.186E-02,  12.40967,   0.559E+04
   5900,2023-01-30T17:05:34.840+03:00,   0.220E-02,  12.60981,   0.566E+04
   6000,2023-01-30T17:06:46.605+03:00,   0.215E-02,  12.81133,   0.573E+04
