,,s,s,s
   6100,2023-01-30T17:07:58.231+03:00,   0.205E-02,  13.01968,   0.580E+04
   6200,2023-01-30T17:09:10.156+03:00,   0.200E-02,  13.23118,   0.588E+04
   6300,2023-01-30T17:10:21.991+03:00,   0.189E-02,  13.43582,   0.595E+04
   6400,2023-01-30T17:11:33.727+03:00,   0.197E-02,  13.62125,   0.602E+04
   6500,2023-01-30T17:12:45.312+03:00,   0.211E-02,  13.83601,   0.609E+04
   6600,2023-01-30T17:13:56.768+03:00,   0.207E-02,  14.04025,   0.616E+04
   6700,2023-01-30T17:15:08.323+03:00,   0.223E-02,  14.25224,   0.623E+04
   6800,2023-01-30T17:16:20.229+03:00,   0.201E-02,  14.46266,   0.631E+04
   6900,2023-01-30T17:17:31.794+03:00,   0.238E-02,  14.67842,   0.638E+04
   7000,2023-01-30T17:18:43.619+03:00,   0.205E-02,  14.89910,   0.645E+04
   7046,2023-01-30T17:19:16.517+03:00,   0.151E-02,  15.00000,   0.648E+04
