s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0010201E+000, 3.8012566E+001,-1.3306647E+001, 5.1778587E-001,-3.3085503E-001,-7.2194966E-002, 0.0000000E+000, 0.0000000E+000, 2.4328497E+001, 2.4820656E+001, 0.0000000E+000, 1.0838158E-003, 0.0000000E+000
 2.0006731E+000, 9.7238850E+001,-3.1745034E+001, 6.3061913E-001,-6.3316174E-001,-2.1432086E-001, 0.0000000E+000, 0.0000000E+000, 6.5573587E+001, 6.5276953E+001, 0.0000000E+000, 2.1962786E-003, 0.0000000E+000
 3.0002763E+000, 1.1802588E+002,-3.8618632E+001,-7.6624698E+001,-8.1425006E-001,-2.5955998E-001, 0.0000000E+000, 0.0000000E+000, 2.3664891E+000, 1.7087355E+000, 0.0000000E+000, 2.4247616E-003, 0.0000000E+000
 4.0012612E+000, 1.1495579E+002,-3.7757973E+001,-8.3734664E+001,-7.8438567E-001,-2.5761987E-001, 0.0000000E+000, 0.0000000E+000,-7.0132291E+000,-7.5788489E+000, 0.0000000E+000, 2.4580016E-003, 0.0000000E+000
 5.0008645E+000, 1.1976478E+002,-3.9339418E+001,-8.0986421E+001,-7.1818423E-001,-2.5155245E-001, 0.0000000E+000, 0.0000000E+000,-1.0630527E+000,-1.5307916E+000, 0.0000000E+000, 2.4625452E-003, 0.0000000E+000
 6.0010381E+000, 1.1768276E+002,-3.8528862E+001,-7.3990836E+001,-7.1344861E-001,-2.5517266E-001, 0.0000000E+000, 0.0000000E+000, 4.5817126E+000, 4.1944406E+000, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0007968E+000, 1.1893057E+002,-3.9100317E+001,-7.6148040E+001,-7.1720613E-001,-2.5323481E-001, 0.0000000E+000, 0.0000000E+000, 3.2409547E+000, 2.7117681E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0015373E+000, 1.1859575E+002,-3.9007644E+001,-8.8087999E+001,-7.5990657E-001,-2.5259733E-001, 0.0000000E+000, 0.0000000E+000,-8.8706704E+000,-9.5123967E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0015345E+000, 1.2018507E+002,-3.9429809E+001,-7.6664299E+001,-8.5442666E-001,-2.5833422E-001, 0.0000000E+000, 0.0000000E+000, 3.6069806E+000, 2.9781957E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001301E+001, 1.1781036E+002,-3.8580358E+001,-7.8593369E+001,-7.0076991E-001,-2.5570054E-001, 0.0000000E+000, 0.0000000E+000, 1.1297801E-001,-3.1983845E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1001899E+001, 1.1783702E+002,-3.8661513E+001,-8.0591412E+001,-7.3705375E-001,-2.5969806E-001, 0.0000000E+000, 0.0000000E+000,-1.9790520E+000,-2.4126596E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001536E+001, 1.2148615E+002,-3.9996324E+001,-7.9206969E+001,-7.0996894E-001,-2.6338021E-001, 0.0000000E+000, 0.0000000E+000, 1.8930604E+000, 1.3095117E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000736E+001, 1.1835211E+002,-3.9103383E+001,-8.2825061E+001,-7.3704707E-001,-2.5868865E-001, 0.0000000E+000, 0.0000000E+000,-3.9630155E+000,-4.5720706E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000961E+001, 1.1713495E+002,-3.8522306E+001,-7.2151229E+001,-7.4327413E-001,-2.5485072E-001, 0.0000000E+000, 0.0000000E+000, 5.9744170E+000, 5.4632854E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1874589E+002,-3.8993999E+001,-8.1693497E+001,-7.4887557E-001,-2.5216010E-001, 0.0000000E+000, 0.0000000E+000,-2.3574605E+000,-2.9426367E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
