s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0012197E+000, 3.7753689E+001,-1.2832810E+001, 5.1689490E-001,-3.4117142E-001,-7.2176404E-002, 0.0000000E+000, 0.0000000E+000, 2.4515093E+001, 2.5024427E+001, 0.0000000E+000, 1.0837704E-003, 0.0000000E+000
 2.0013840E+000, 9.6945543E+001,-3.1227722E+001,-4.7972142E+000,-5.9397170E-001,-2.1029338E-001, 0.0000000E+000, 0.0000000E+000, 6.0207194E+001, 6.0116342E+001, 0.0000000E+000, 2.1964803E-003, 0.0000000E+000
 3.0013013E+000, 1.1624413E+002,-3.7628259E+001,-7.2686702E+001,-7.0193799E-001,-2.5498057E-001, 0.0000000E+000, 0.0000000E+000, 5.6924304E+000, 4.9722542E+000, 0.0000000E+000, 2.4248253E-003, 0.0000000E+000
 4.0018368E+000, 1.1842885E+002,-3.8377734E+001,-8.4628113E+001,-7.0931402E-001,-2.5984386E-001, 0.0000000E+000, 0.0000000E+000,-5.0480302E+000,-5.5461581E+000, 0.0000000E+000, 2.4580101E-003, 0.0000000E+000
 5.0009561E+000, 1.1775283E+002,-3.8036921E+001,-7.3733764E+001,-6.7164403E-001,-2.5816032E-001, 0.0000000E+000, 0.0000000E+000, 5.3813699E+000, 5.0523429E+000, 0.0000000E+000, 2.4625458E-003, 0.0000000E+000
 6.0007849E+000, 1.1772558E+002,-3.8192797E+001,-7.5193761E+001,-6.7708370E-001,-2.4930549E-001, 0.0000000E+000, 0.0000000E+000, 3.8492930E+000, 3.4126291E+000, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0001559E+000, 1.1927782E+002,-3.8569148E+001,-8.7480103E+001,-6.7923345E-001,-2.5274678E-001, 0.0000000E+000, 0.0000000E+000,-7.2349110E+000,-7.7034116E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0016699E+000, 1.1803519E+002,-3.8263844E+001,-7.9950419E+001,-6.9553403E-001,-2.5260582E-001, 0.0000000E+000, 0.0000000E+000,-5.5991018E-001,-1.1272077E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0016003E+000, 1.1802195E+002,-3.8295717E+001,-8.3011646E+001,-6.8500161E-001,-2.5018077E-001, 0.0000000E+000, 0.0000000E+000,-3.8148495E+000,-4.2205961E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001846E+001, 1.2098520E+002,-3.9106949E+001,-8.1565082E+001,-6.9143493E-001,-2.5132719E-001, 0.0000000E+000, 0.0000000E+000, 6.5920287E-002,-6.2959068E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1001471E+001, 1.1801291E+002,-3.8341774E+001,-6.9196154E+001,-6.5680977E-001,-2.5461394E-001, 0.0000000E+000, 0.0000000E+000, 9.9693732E+000, 9.5635613E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001503E+001, 1.1830575E+002,-3.8290315E+001,-8.7672267E+001,-7.3741742E-001,-2.5503142E-001, 0.0000000E+000, 0.0000000E+000,-8.0032725E+000,-8.6492765E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000340E+001, 1.2144123E+002,-3.9403960E+001,-8.0231918E+001,-7.0606478E-001,-2.6257356E-001, 0.0000000E+000, 0.0000000E+000, 1.4230590E+000, 8.3671611E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000713E+001, 1.1651933E+002,-3.7691083E+001,-7.6768840E+001,-6.7489150E-001,-2.4915547E-001, 0.0000000E+000, 0.0000000E+000, 1.6973906E+000, 1.1353592E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1857808E+002,-3.8401802E+001,-8.3210065E+001,-7.2160733E-001,-2.5880497E-001, 0.0000000E+000, 0.0000000E+000,-3.3854117E+000,-4.0141980E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
