Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.301E+01, 5.164E+02, 2.763E+02, 5.182E+02, 3.991E+02, 1.399E+02, 1.538E+02, 0.000E+00, 1.885E+04, 7.453E+00, 9.513E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    1, 1.588E+01, 5.276E+02, 2.745E+02, 4.603E+02, 4.164E+02, 1.381E+02, 9.675E+01, 0.000E+00, 1.866E+04, 1.024E+01, 1.226E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    2, 1.541E+01, 5.511E+02, 2.778E+02, 4.325E+02, 4.203E+02, 1.369E+02, 6.819E+01, 0.000E+00, 1.853E+04, 1.781E+01, 1.379E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    3, 1.492E+01, 5.272E+02, 2.785E+02, 4.562E+02, 4.175E+02, 1.393E+02, 6.711E+01, 0.000E+00, 1.857E+04, 1.568E+01, 1.341E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    4, 1.956E+01, 5.519E+02, 2.739E+02, 4.879E+02, 4.056E+02, 1.341E+02, 1.413E+02, 0.000E+00, 1.857E+04, 1.404E+01, 1.234E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    5, 9.149E+00, 5.144E+02, 2.856E+02, 5.128E+02, 3.893E+02, 1.404E+02, 9.155E+01, 0.000E+00, 1.897E+04, 2.662E+01, 8.881E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    6, 9.875E+00, 4.958E+02, 2.854E+02, 3.993E+02, 3.829E+02, 1.335E+02, 2.615E+01, 0.000E+00, 1.895E+04, 3.690E+01, 1.108E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    7, 1.309E+01, 5.321E+02, 2.866E+02, 3.910E+02, 3.863E+02, 1.352E+02, 2.607E+01, 0.000E+00, 1.875E+04, 4.364E+01, 1.267E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    8, 1.220E+01, 5.085E+02, 2.870E+02, 4.408E+02, 4.051E+02, 1.337E+02, 5.041E+01, 0.000E+00, 1.878E+04, 4.441E+01, 1.170E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
    9, 1.455E+01, 6.161E+02, 2.832E+02, 4.477E+02, 4.020E+02, 1.349E+02, 6.915E+01, 0.000E+00, 1.826E+04, 3.412E+01, 1.573E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.183E+04
