Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 3.228E+01, 6.893E+02, 2.771E+02, 4.737E+02, 3.874E+02, 1.448E+02, 3.898E+01, 0.000E+00, 2.038E+02, 7.357E+00, 3.995E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    1, 3.666E+01, 6.715E+02, 2.693E+02, 4.498E+02, 3.971E+02, 1.401E+02, 3.992E+01, 0.000E+00, 1.854E+02, 1.109E+01, 4.533E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    2, 3.534E+01, 6.945E+02, 2.796E+02, 4.350E+02, 4.096E+02, 1.445E+02, 3.905E+01, 0.000E+00, 1.897E+02, 1.704E+01, 4.100E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    3, 3.519E+01, 6.865E+02, 2.810E+02, 4.491E+02, 4.091E+02, 1.447E+02, 3.928E+01, 0.000E+00, 1.984E+02, 1.679E+01, 3.942E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    4, 4.022E+01, 7.074E+02, 2.763E+02, 4.416E+02, 3.889E+02, 1.393E+02, 4.284E+01, 0.000E+00, 1.866E+02, 1.727E+01, 4.139E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    5, 2.796E+01, 6.743E+02, 2.884E+02, 5.069E+02, 3.780E+02, 1.447E+02, 3.080E+01, 0.000E+00, 2.317E+02, 2.824E+01, 3.434E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    6, 3.059E+01, 6.722E+02, 2.868E+02, 4.446E+02, 3.798E+02, 1.404E+02, 3.345E+01, 0.000E+00, 2.084E+02, 3.772E+01, 4.204E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    7, 3.115E+01, 6.728E+02, 2.865E+02, 4.600E+02, 3.907E+02, 1.418E+02, 3.294E+01, 0.000E+00, 2.104E+02, 4.456E+01, 3.833E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    8, 3.117E+01, 6.665E+02, 2.894E+02, 4.489E+02, 3.870E+02, 1.407E+02, 3.363E+01, 0.000E+00, 2.056E+02, 4.654E+01, 4.049E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
    9, 3.383E+01, 6.798E+02, 2.850E+02, 4.689E+02, 3.915E+02, 1.400E+02, 3.803E+01, 0.000E+00, 1.998E+02, 3.584E+01, 3.817E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   10, 3.267E+01, 6.777E+02, 2.777E+02, 4.728E+02, 3.731E+02, 1.403E+02, 3.279E+01, 0.000E+00, 1.906E+02, 2.518E+01, 4.315E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   11, 3.723E+01, 6.508E+02, 2.684E+02, 4.431E+02, 3.828E+02, 1.396E+02, 3.554E+01, 0.000E+00, 1.774E+02, 3.526E+01, 4.842E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   12, 3.738E+01, 6.672E+02, 2.720E+02, 4.423E+02, 3.833E+02, 1.402E+02, 3.579E+01, 0.000E+00, 1.777E+02, 4.149E+01, 4.570E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   13, 3.644E+01, 6.533E+02, 2.769E+02, 4.827E+02, 3.908E+02, 1.394E+02, 3.461E+01, 0.000E+00, 1.993E+02, 4.192E+01, 3.990E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   14, 3.889E+01, 6.657E+02, 2.693E+02, 4.362E+02, 3.802E+02, 1.335E+02, 4.044E+01, 0.000E+00, 1.759E+02, 3.299E+01, 4.811E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   15, 3.662E+01, 7.011E+02, 2.775E+02, 4.771E+02, 3.844E+02, 1.440E+02, 4.057E+01, 0.000E+00, 1.962E+02, 9.478E+00, 3.874E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   16, 4.776E+01, 5.484E+02, 2.138E+02, 3.677E+02, 3.266E+02, 1.158E+02, 5.478E+01, 0.000E+00, 1.506E+02, 1.264E+01, 8.161E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   17, 5.537E+01, 5.524E+02, 2.146E+02, 3.771E+02, 3.169E+02, 1.206E+02, 5.502E+01, 0.000E+00, 1.516E+02, 2.457E+01, 7.861E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   18, 5.384E+01, 5.509E+02, 2.165E+02, 3.567E+02, 3.328E+02, 1.159E+02, 5.495E+01, 0.000E+00, 1.501E+02, 2.804E+01, 7.946E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   19, 5.845E+01, 5.604E+02, 2.218E+02, 3.524E+02, 2.983E+02, 1.172E+02, 5.985E+01, 0.000E+00, 1.610E+02, 2.374E+01, 8.013E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   20, 3.414E+01, 7.022E+02, 2.809E+02, 4.715E+02, 4.192E+02, 1.435E+02, 3.836E+01, 0.000E+00, 2.052E+02, 8.015E+00, 3.513E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   21, 3.727E+01, 6.763E+02, 2.729E+02, 4.435E+02, 4.356E+02, 1.427E+02, 3.807E+01, 0.000E+00, 1.920E+02, 1.267E+01, 4.032E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   22, 3.526E+01, 7.020E+02, 2.813E+02, 4.588E+02, 4.350E+02, 1.453E+02, 3.771E+01, 0.000E+00, 1.953E+02, 1.619E+01, 3.475E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   23, 3.500E+01, 7.025E+02, 2.805E+02, 4.562E+02, 4.323E+02, 1.445E+02, 3.862E+01, 0.000E+00, 1.969E+02, 1.894E+01, 3.487E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   24, 3.813E+01, 7.137E+02, 2.770E+02, 4.390E+02, 4.131E+02, 1.409E+02, 4.266E+01, 0.000E+00, 1.914E+02, 1.925E+01, 3.792E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   25, 2.223E+01, 6.894E+02, 2.925E+02, 5.085E+02, 4.091E+02, 1.451E+02, 3.059E+01, 0.000E+00, 2.412E+02, 2.603E+01, 2.897E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   26, 2.618E+01, 6.901E+02, 2.880E+02, 4.534E+02, 4.086E+02, 1.434E+02, 3.252E+01, 0.000E+00, 2.123E+02, 3.675E+01, 3.631E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   27, 2.647E+01, 6.912E+02, 2.883E+02, 4.462E+02, 4.108E+02, 1.459E+02, 3.287E+01, 0.000E+00, 2.126E+02, 4.324E+01, 3.566E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
   28, 2.746E+01, 6.816E+02, 2.902E+02, 4.646E+02, 4.194E+02, 1.431E+02, 3.322E+01, 0.000E+00, 2.162E+02, 4.413E+01, 3.344E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.654E+03
