s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-8.9960386E-004,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9960512E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0023394E+000, 3.7823893E+001,-1.3303243E+001, 5.1234497E-001,-3.4021808E-001,-7.2333318E-002, 0.0000000E+000, 0.0000000E+000, 2.4131468E+001, 2.4620444E+001, 0.0000000E+000, 1.0846602E-003, 0.0000000E+000
 2.0005031E+000, 9.7319136E+001,-3.1465635E+001,-3.5737899E+000,-5.8727061E-001,-2.1020110E-001, 0.0000000E+000, 0.0000000E+000, 6.1567684E+001, 6.1482240E+001, 0.0000000E+000, 2.1966743E-003, 0.0000000E+000
 3.0004611E+000, 1.1494211E+002,-3.7298975E+001,-7.4087685E+001,-7.7948979E-001,-2.5747171E-001, 0.0000000E+000, 0.0000000E+000, 3.0842736E+000, 2.5184880E+000, 0.0000000E+000, 2.4247580E-003, 0.0000000E+000
 4.0005908E+000, 1.1880604E+002,-3.8504802E+001,-7.7748553E+001,-7.1297172E-001,-2.5688532E-001, 0.0000000E+000, 0.0000000E+000, 2.0974596E+000, 1.5828264E+000, 0.0000000E+000, 2.4580007E-003, 0.0000000E+000
 5.0013032E+000, 1.1700469E+002,-3.7718696E+001,-7.3162846E+001,-6.8404509E-001,-2.5426398E-001, 0.0000000E+000, 0.0000000E+000, 5.7731715E+000, 5.1848409E+000, 0.0000000E+000, 2.4625447E-003, 0.0000000E+000
 6.0010157E+000, 1.2086890E+002,-3.9201395E+001,-9.2391564E+001,-7.9760147E-001,-2.6049728E-001, 0.0000000E+000, 0.0000000E+000,-1.1157356E+001,-1.1782162E+001, 0.0000000E+000, 2.4631602E-003, 0.0000000E+000
 7.0012407E+000, 1.1637974E+002,-3.7530097E+001,-6.9560128E+001,-7.0365458E-001,-2.5440184E-001, 0.0000000E+000, 0.0000000E+000, 8.8598105E+000, 8.3314580E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0001888E+000, 1.2060856E+002,-3.9151993E+001,-9.5220637E+001,-7.1755872E-001,-2.5866628E-001, 0.0000000E+000, 0.0000000E+000,-1.4055282E+001,-1.4740292E+001, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0018454E+000, 1.1814084E+002,-3.8185674E+001,-7.1155057E+001,-7.0027865E-001,-2.6320458E-001, 0.0000000E+000, 0.0000000E+000, 8.4109124E+000, 7.8366257E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001510E+001, 1.1760852E+002,-3.8004301E+001,-7.6363937E+001,-6.6522821E-001,-2.5538727E-001, 0.0000000E+000, 0.0000000E+000, 2.6722111E+000, 2.3196707E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000845E+001, 1.1872670E+002,-3.8574203E+001,-8.9322518E+001,-7.1051551E-001,-2.5510307E-001, 0.0000000E+000, 0.0000000E+000,-9.7372092E+000,-1.0135642E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000209E+001, 1.2121541E+002,-3.9225951E+001,-7.6992992E+001,-7.0027836E-001,-2.5925592E-001, 0.0000000E+000, 0.0000000E+000, 4.6101288E+000, 4.0369299E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3001104E+001, 1.1610440E+002,-3.7619428E+001,-8.2508190E+001,-7.1357382E-001,-2.5862578E-001, 0.0000000E+000, 0.0000000E+000,-4.3849931E+000,-4.9954214E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4002105E+001, 1.1941162E+002,-3.8514465E+001,-8.0248693E+001,-6.6693101E-001,-2.5416918E-001, 0.0000000E+000, 0.0000000E+000, 1.6514849E-001,-2.7264027E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1949476E+002,-3.8826195E+001,-7.0286381E+001,-6.7356522E-001,-2.5182284E-001, 0.0000000E+000, 0.0000000E+000, 9.8897077E+000, 9.4567981E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
