s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5319290E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5320559E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015054E+000, 3.7744672E+001,-1.2828578E+001, 5.1682588E-001,-3.4064802E-001,-7.2177500E-002, 0.0000000E+000, 0.0000000E+000, 2.4510512E+001, 2.5020094E+001, 0.0000000E+000, 1.0840000E-003, 0.0000000E+000
 2.0009272E+000, 9.7090584E+001,-3.1266689E+001,-4.7475517E-001,-5.9277112E-001,-2.1020171E-001, 0.0000000E+000, 0.0000000E+000, 6.4628219E+001, 6.4546167E+001, 0.0000000E+000, 2.1964868E-003, 0.0000000E+000
 3.0015376E+000, 1.1798941E+002,-3.8225755E+001,-7.9764301E+001,-7.9559952E-001,-2.5893038E-001, 0.0000000E+000, 0.0000000E+000,-4.8366732E-001,-1.0551744E+000, 0.0000000E+000, 2.4248095E-003, 0.0000000E+000
 4.0003839E+000, 1.1667950E+002,-3.7645906E+001,-6.5891858E+001,-6.9005651E-001,-2.5472951E-001, 0.0000000E+000, 0.0000000E+000, 1.2665056E+001, 1.2196948E+001, 0.0000000E+000, 2.4580070E-003, 0.0000000E+000
 5.0017591E+000, 1.1687490E+002,-3.7789629E+001,-8.9803164E+001,-6.8171985E-001,-2.5459006E-001, 0.0000000E+000, 0.0000000E+000,-1.1196973E+001,-1.1654199E+001, 0.0000000E+000, 2.4625448E-003, 0.0000000E+000
 6.0003943E+000, 1.1922778E+002,-3.8650083E+001,-7.7521786E+001,-6.8710624E-001,-2.5248815E-001, 0.0000000E+000, 0.0000000E+000, 2.4495692E+000, 2.1163142E+000, 0.0000000E+000, 2.4631603E-003, 0.0000000E+000
 7.0015993E+000, 1.1904165E+002,-3.8488736E+001,-8.2042138E+001,-7.3912204E-001,-2.5171439E-001, 0.0000000E+000, 0.0000000E+000,-1.9817063E+000,-2.4800579E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0002098E+000, 1.1785761E+002,-3.8166851E+001,-7.8377079E+001,-6.7886207E-001,-2.5335055E-001, 0.0000000E+000, 0.0000000E+000, 9.3006471E-001, 3.8146779E-001, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0006571E+000, 1.1864348E+002,-3.8383881E+001,-7.9589217E+001,-7.5165826E-001,-2.5405906E-001, 0.0000000E+000, 0.0000000E+000, 2.7418592E-001,-3.3533606E-001, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0001639E+001, 1.1801991E+002,-3.8106047E+001,-8.3351993E+001,-6.5915969E-001,-2.4832225E-001, 0.0000000E+000, 0.0000000E+000,-3.8410415E+000,-4.3456154E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000033E+001, 1.2050903E+002,-3.9032347E+001,-8.0074438E+001,-7.1478680E-001,-2.6104796E-001, 0.0000000E+000, 0.0000000E+000, 9.2622129E-001, 4.2641174E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000793E+001, 1.1761390E+002,-3.8029510E+001,-7.5648599E+001,-6.5638730E-001,-2.5368244E-001, 0.0000000E+000, 0.0000000E+000, 3.4906747E+000, 3.0257178E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000041E+001, 1.1996760E+002,-3.8920606E+001,-9.2000685E+001,-7.4708015E-001,-2.6235101E-001, 0.0000000E+000, 0.0000000E+000,-1.1448658E+001,-1.1963120E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000716E+001, 1.1575578E+002,-3.7610960E+001,-7.1210560E+001,-6.5188750E-001,-2.4923275E-001, 0.0000000E+000, 0.0000000E+000, 6.5570779E+000, 6.0331400E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1989028E+002,-3.8911736E+001,-8.0235798E+001,-6.6505806E-001,-2.5522446E-001, 0.0000000E+000, 0.0000000E+000, 1.9347596E-001,-1.7753469E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
