Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.889E+01, 6.560E+02, 3.207E+02, 6.443E+02, 5.144E+02, 1.943E+02, 1.704E+02, 0.000E+00, 2.345E+04, 1.018E+01, 1.084E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    1, 3.176E+01, 7.819E+02, 3.156E+02, 5.976E+02, 5.234E+02, 1.841E+02, 1.246E+02, 0.000E+00, 2.292E+04, 1.382E+01, 1.580E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    2, 3.234E+01, 7.235E+02, 3.221E+02, 5.978E+02, 5.282E+02, 1.878E+02, 1.037E+02, 0.000E+00, 2.299E+04, 2.008E+01, 1.566E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    3, 3.277E+01, 7.602E+02, 3.218E+02, 5.974E+02, 5.291E+02, 1.865E+02, 1.027E+02, 0.000E+00, 2.293E+04, 2.191E+01, 1.595E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    4, 4.040E+01, 8.130E+02, 3.154E+02, 6.195E+02, 4.987E+02, 1.841E+02, 1.832E+02, 0.000E+00, 2.263E+04, 1.849E+01, 1.771E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    5, 2.540E+01, 6.557E+02, 3.288E+02, 6.494E+02, 5.139E+02, 1.860E+02, 8.855E+01, 0.000E+00, 2.348E+04, 3.460E+01, 1.111E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    6, 2.679E+01, 6.955E+02, 3.288E+02, 5.480E+02, 5.015E+02, 1.814E+02, 3.104E+01, 0.000E+00, 2.301E+04, 4.628E+01, 1.703E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    7, 3.140E+01, 6.994E+02, 3.292E+02, 5.389E+02, 5.214E+02, 1.820E+02, 3.042E+01, 0.000E+00, 2.303E+04, 5.454E+01, 1.657E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    8, 3.121E+01, 6.844E+02, 3.315E+02, 5.498E+02, 5.174E+02, 1.802E+02, 3.772E+01, 0.000E+00, 2.299E+04, 5.564E+01, 1.700E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
    9, 3.475E+01, 8.185E+02, 3.231E+02, 5.743E+02, 5.170E+02, 1.811E+02, 5.769E+01, 0.000E+00, 2.263E+04, 4.262E+01, 1.899E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   10, 2.934E+01, 7.622E+02, 3.165E+02, 5.907E+02, 5.008E+02, 1.816E+02, 4.899E+01, 0.000E+00, 2.237E+04, 3.102E+01, 2.250E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   11, 3.282E+01, 8.278E+02, 3.040E+02, 5.053E+02, 4.877E+02, 1.760E+02, 3.050E+01, 0.000E+00, 2.138E+04, 4.349E+01, 3.286E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   12, 3.394E+01, 8.484E+02, 3.093E+02, 4.957E+02, 4.897E+02, 1.784E+02, 2.299E+01, 0.000E+00, 2.117E+04, 5.068E+01, 3.477E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   13, 3.179E+01, 7.281E+02, 3.131E+02, 5.405E+02, 5.145E+02, 1.787E+02, 2.130E+01, 0.000E+00, 2.227E+04, 5.286E+01, 2.423E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   14, 3.406E+01, 8.574E+02, 3.073E+02, 5.313E+02, 4.894E+02, 1.699E+02, 7.563E+01, 0.000E+00, 2.123E+04, 4.167E+01, 3.341E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   15, 3.254E+01, 6.557E+02, 3.180E+02, 6.408E+02, 5.048E+02, 1.918E+02, 1.371E+02, 0.000E+00, 2.335E+04, 1.122E+01, 1.237E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   16, 3.625E+01, 5.504E+02, 2.857E+02, 4.914E+02, 4.712E+02, 1.729E+02, 9.332E+01, 0.000E+00, 2.351E+04, 1.510E+01, 1.449E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   17, 3.832E+01, 5.467E+02, 2.859E+02, 4.841E+02, 4.641E+02, 1.725E+02, 9.986E+01, 0.000E+00, 2.352E+04, 2.352E+01, 1.442E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   18, 4.029E+01, 5.550E+02, 2.840E+02, 4.797E+02, 4.668E+02, 1.702E+02, 1.013E+02, 0.000E+00, 2.344E+04, 2.634E+01, 1.510E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   19, 4.849E+01, 5.378E+02, 2.808E+02, 4.738E+02, 4.265E+02, 1.694E+02, 1.880E+02, 0.000E+00, 2.358E+04, 2.410E+01, 1.351E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   20, 5.396E+01, 5.072E+02, 2.623E+02, 4.438E+02, 3.584E+02, 1.331E+02, 2.673E+02, 0.000E+00, 1.528E+04, 7.381E+00, 9.765E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   21, 5.874E+01, 5.544E+02, 2.592E+02, 3.996E+02, 3.639E+02, 1.321E+02, 2.186E+02, 0.000E+00, 1.500E+04, 1.234E+01, 1.008E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   22, 5.749E+01, 5.134E+02, 2.656E+02, 3.928E+02, 3.683E+02, 1.322E+02, 2.018E+02, 0.000E+00, 1.511E+04, 1.412E+01, 1.002E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   23, 5.530E+01, 5.891E+02, 2.660E+02, 3.934E+02, 3.676E+02, 1.327E+02, 1.981E+02, 0.000E+00, 1.484E+04, 1.627E+01, 1.022E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   24, 6.414E+01, 6.031E+02, 2.641E+02, 4.261E+02, 3.543E+02, 1.287E+02, 2.833E+02, 0.000E+00, 1.483E+04, 1.673E+01, 1.010E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   25, 4.658E+01, 5.039E+02, 2.729E+02, 4.374E+02, 3.316E+02, 1.318E+02, 2.059E+02, 0.000E+00, 1.565E+04, 2.340E+01, 9.476E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   26, 5.653E+01, 5.079E+02, 2.739E+02, 3.919E+02, 3.477E+02, 1.306E+02, 1.539E+02, 0.000E+00, 1.525E+04, 3.373E+01, 9.935E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   27, 5.540E+01, 4.951E+02, 2.753E+02, 3.936E+02, 3.562E+02, 1.299E+02, 1.531E+02, 0.000E+00, 1.538E+04, 3.942E+01, 9.796E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   28, 5.416E+01, 5.192E+02, 2.744E+02, 3.955E+02, 3.493E+02, 1.255E+02, 1.637E+02, 0.000E+00, 1.514E+04, 3.993E+01, 1.001E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   29, 5.524E+01, 6.015E+02, 2.708E+02, 3.970E+02, 3.479E+02, 1.293E+02, 1.764E+02, 0.000E+00, 1.488E+04, 3.145E+01, 1.019E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
   30, 6.001E+01, 5.752E+02, 2.665E+02, 4.273E+02, 3.366E+02, 1.299E+02, 1.664E+02, 0.000E+00, 1.462E+04, 2.173E+01, 1.048E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.708E+04
