s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001975E+000, 4.0850530E+001,-1.2900881E+001, 5.6952491E-001,-1.9272000E-001,-7.4031491E-002, 0.0000000E+000, 0.0000000E+000, 2.7671844E+001, 2.8252423E+001, 0.0000000E+000, 1.0939386E-003, 0.0000000E+000
 2.0015166E+000, 9.8700340E+001,-2.8778486E+001,-1.4261406E+001,-3.2809203E-001,-2.2637124E-001, 0.0000000E+000, 0.0000000E+000, 5.5554787E+001, 5.5105985E+001, 0.0000000E+000, 2.2181604E-003, 0.0000000E+000
 3.0000131E+000, 1.1483569E+002,-3.3388844E+001,-6.3435469E+001,-4.7233477E-001,-2.6138417E-001, 0.0000000E+000, 0.0000000E+000, 1.7788959E+001, 1.7277660E+001, 0.0000000E+000, 2.4491008E-003, 0.0000000E+000
 4.0011616E+000, 1.2033406E+002,-3.5099784E+001,-9.3271219E+001,-4.4929537E-001,-2.7620452E-001, 0.0000000E+000, 0.0000000E+000,-8.0690840E+000,-8.7624473E+000, 0.0000000E+000, 2.4826312E-003, 0.0000000E+000
 5.0001593E+000, 1.1725298E+002,-3.4386600E+001,-6.7690662E+001,-3.9313308E-001,-2.7295472E-001, 0.0000000E+000, 0.0000000E+000, 1.5064113E+001, 1.4509627E+001, 0.0000000E+000, 2.4872226E-003, 0.0000000E+000
 6.0016198E+000, 1.1738246E+002,-3.4388370E+001,-9.5505287E+001,-4.3283354E-001,-2.6704264E-001, 0.0000000E+000, 0.0000000E+000,-1.2728601E+001,-1.3211069E+001, 0.0000000E+000, 2.4878442E-003, 0.0000000E+000
 7.0003958E+000, 1.1868325E+002,-3.4745474E+001,-9.1666627E+001,-4.4039121E-001,-2.6948051E-001, 0.0000000E+000, 0.0000000E+000,-7.7676749E+000,-8.4387208E+000, 0.0000000E+000, 2.4879284E-003, 0.0000000E+000
 8.0011940E+000, 1.2002991E+002,-3.4926843E+001,-7.9417761E+001,-4.1090210E-001,-2.6968771E-001, 0.0000000E+000, 0.0000000E+000, 5.7283354E+000, 5.0047131E+000, 0.0000000E+000, 2.4879397E-003, 0.0000000E+000
 9.0011692E+000, 1.1837381E+002,-3.4528994E+001,-8.4278697E+001,-4.5788158E-001,-2.6928508E-001, 0.0000000E+000, 0.0000000E+000,-4.6912920E-001,-1.1610487E+000, 0.0000000E+000, 2.4879413E-003, 0.0000000E+000
 1.0000008E+001, 1.1927889E+002,-3.5116490E+001,-9.1972461E+001,-4.3545168E-001,-2.7040183E-001, 0.0000000E+000, 0.0000000E+000,-8.0298146E+000,-8.5159114E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.1000684E+001, 1.1711487E+002,-3.4231615E+001,-8.3123739E+001,-4.1608431E-001,-2.6173788E-001, 0.0000000E+000, 0.0000000E+000,-2.0873265E-001,-9.1830351E-001, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.2000531E+001, 1.1928997E+002,-3.5030117E+001,-8.1163513E+001,-4.0258344E-001,-2.7109840E-001, 0.0000000E+000, 0.0000000E+000, 3.0832121E+000, 2.4226546E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.3000977E+001, 1.2148442E+002,-3.5435299E+001,-7.8585807E+001,-4.3432629E-001,-2.7704044E-001, 0.0000000E+000, 0.0000000E+000, 7.3482348E+000, 6.7519479E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.4001232E+001, 1.1676242E+002,-3.4146713E+001,-9.5135751E+001,-4.1738417E-001,-2.6932680E-001, 0.0000000E+000, 0.0000000E+000,-1.2364076E+001,-1.3206758E+001, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.5000000E+001, 1.1782098E+002,-3.4924355E+001,-7.9637133E+001,-4.0169052E-001,-2.6940619E-001, 0.0000000E+000, 0.0000000E+000, 3.2056240E+000, 2.5883915E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
