Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.585E+01, 4.872E+02, 2.093E+02, 3.956E+02, 3.507E+02, 1.111E+02, 3.292E+01, 0.000E+00, 1.534E+02, 5.695E+00, 2.546E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    1, 2.858E+01, 4.695E+02, 2.045E+02, 3.324E+02, 3.480E+02, 1.051E+02, 3.269E+01, 0.000E+00, 1.373E+02, 7.993E+00, 3.603E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    2, 2.404E+01, 4.944E+02, 2.121E+02, 3.938E+02, 3.683E+02, 1.094E+02, 3.108E+01, 0.000E+00, 1.486E+02, 1.096E+01, 2.337E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    3, 2.426E+01, 4.814E+02, 2.162E+02, 3.827E+02, 3.643E+02, 1.093E+02, 3.089E+01, 0.000E+00, 1.688E+02, 1.304E+01, 2.355E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    4, 2.968E+01, 4.913E+02, 2.093E+02, 3.888E+02, 3.534E+02, 1.085E+02, 3.483E+01, 0.000E+00, 1.504E+02, 1.114E+01, 2.490E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    5, 1.922E+01, 4.755E+02, 2.209E+02, 3.688E+02, 3.384E+02, 1.085E+02, 2.550E+01, 0.000E+00, 1.704E+02, 2.204E+01, 2.771E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    6, 1.954E+01, 4.655E+02, 2.169E+02, 4.079E+02, 3.616E+02, 1.053E+02, 2.636E+01, 0.000E+00, 1.562E+02, 2.867E+01, 2.384E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    7, 2.195E+01, 4.596E+02, 2.178E+02, 3.165E+02, 3.309E+02, 1.062E+02, 2.721E+01, 0.000E+00, 1.590E+02, 3.395E+01, 3.533E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    8, 2.212E+01, 4.681E+02, 2.188E+02, 4.078E+02, 3.661E+02, 1.057E+02, 2.676E+01, 0.000E+00, 1.587E+02, 3.427E+01, 2.179E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
    9, 2.756E+01, 4.702E+02, 2.141E+02, 3.302E+02, 3.378E+02, 1.039E+02, 3.136E+01, 0.000E+00, 1.520E+02, 2.595E+01, 3.333E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.026E+03
