s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-8.9960386E-004,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9960512E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015047E+000, 2.8290993E+001,-1.0148074E+001, 4.0995921E-001,-2.7353397E-001,-7.6130396E-002, 0.0000000E+000, 0.0000000E+000, 1.7712924E+001, 1.8203214E+001, 0.0000000E+000, 1.0862949E-003, 0.0000000E+000
 2.0017262E+000, 9.2854083E+001,-3.0195055E+001, 1.4031426E+000,-4.7157125E-001,-2.2114695E-001, 0.0000000E+000, 0.0000000E+000, 6.3211548E+001, 6.3369452E+001, 0.0000000E+000, 2.1968508E-003, 0.0000000E+000
 3.0016723E+000, 1.1356041E+002,-3.7183945E+001,-7.0615524E+001,-7.4829882E-001,-2.6076539E-001, 0.0000000E+000, 0.0000000E+000, 4.9042478E+000, 4.7518801E+000, 0.0000000E+000, 2.4248745E-003, 0.0000000E+000
 4.0009508E+000, 1.1397566E+002,-3.6970218E+001,-8.2962515E+001,-7.0316270E-001,-2.6349974E-001, 0.0000000E+000, 0.0000000E+000,-6.7991606E+000,-6.9237310E+000, 0.0000000E+000, 2.4580130E-003, 0.0000000E+000
 5.0011835E+000, 1.1906824E+002,-3.8813683E+001,-6.4281507E+001,-5.9151165E-001,-2.6005903E-001, 0.0000000E+000, 0.0000000E+000, 1.5216585E+001, 1.5121481E+001, 0.0000000E+000, 2.4625455E-003, 0.0000000E+000
 6.0022235E+000, 1.2368308E+002,-4.0525675E+001,-8.4601137E+001,-7.3872639E-001,-2.6735415E-001, 0.0000000E+000, 0.0000000E+000,-2.4070213E+000,-2.4498107E+000, 0.0000000E+000, 2.4631604E-003, 0.0000000E+000
 7.0001612E+000, 1.1460445E+002,-3.7023785E+001,-8.5047498E+001,-8.1542218E-001,-2.6259236E-001, 0.0000000E+000, 0.0000000E+000,-8.3650018E+000,-8.5448454E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0008869E+000, 1.2595162E+002,-4.1250439E+001,-7.8101879E+001,-6.2005919E-001,-2.5914545E-001, 0.0000000E+000, 0.0000000E+000, 5.7371606E+000, 5.7201006E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0005579E+000, 1.0819123E+002,-3.5206044E+001,-7.3288533E+001,-6.2405792E-001,-2.5771055E-001, 0.0000000E+000, 0.0000000E+000,-1.1625252E+000,-1.1851170E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0002114E+001, 1.2712535E+002,-4.1462333E+001,-9.0231373E+001,-6.8826677E-001,-2.6665139E-001, 0.0000000E+000, 0.0000000E+000,-5.4488784E+000,-5.5232789E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000983E+001, 1.1774889E+002,-3.8403593E+001,-7.3881643E+001,-6.7201219E-001,-2.7086387E-001, 0.0000000E+000, 0.0000000E+000, 4.5405363E+000, 4.5207805E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000431E+001, 1.1921283E+002,-3.8690202E+001,-7.3719456E+001,-6.3841991E-001,-2.6719182E-001, 0.0000000E+000, 0.0000000E+000, 5.9437899E+000, 5.8975584E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3002425E+001, 1.1175802E+002,-3.6533044E+001,-9.0974153E+001,-6.1351031E-001,-2.5661745E-001, 0.0000000E+000, 0.0000000E+000,-1.6572185E+001,-1.6619302E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4000367E+001, 1.2079149E+002,-3.9372204E+001,-6.8269945E+001,-6.5372319E-001,-2.5629640E-001, 0.0000000E+000, 0.0000000E+000, 1.2247887E+001, 1.2239317E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.2116850E+002,-3.9141251E+001,-8.2168146E+001,-6.1074929E-001,-2.5739634E-001, 0.0000000E+000, 0.0000000E+000,-9.3088133E-001,-1.0090443E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
