Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.446E+01, 5.258E+02, 2.786E+02, 5.106E+02, 3.998E+02, 1.412E+02, 8.096E+01, 0.000E+00, 7.953E+03, 6.992E+00, 6.961E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    1, 1.718E+01, 6.005E+02, 2.742E+02, 4.508E+02, 4.046E+02, 1.346E+02, 5.515E+01, 0.000E+00, 7.747E+03, 1.154E+01, 9.118E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    2, 1.692E+01, 5.685E+02, 2.794E+02, 4.592E+02, 4.065E+02, 1.386E+02, 4.769E+01, 0.000E+00, 7.823E+03, 1.568E+01, 8.524E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    3, 1.645E+01, 5.878E+02, 2.817E+02, 4.585E+02, 4.051E+02, 1.388E+02, 4.733E+01, 0.000E+00, 7.785E+03, 1.687E+01, 8.699E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    4, 2.052E+01, 6.124E+02, 2.778E+02, 4.972E+02, 3.951E+02, 1.356E+02, 8.970E+01, 0.000E+00, 7.726E+03, 1.415E+01, 8.392E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    5, 1.038E+01, 5.137E+02, 2.876E+02, 4.946E+02, 3.845E+02, 1.393E+02, 3.966E+01, 0.000E+00, 8.052E+03, 2.674E+01, 6.599E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    6, 1.211E+01, 5.235E+02, 2.891E+02, 4.156E+02, 3.821E+02, 1.343E+02, 1.646E+01, 0.000E+00, 7.945E+03, 3.691E+01, 8.531E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    7, 1.479E+01, 5.171E+02, 2.911E+02, 3.987E+02, 3.825E+02, 1.345E+02, 1.614E+01, 0.000E+00, 7.959E+03, 4.404E+01, 8.502E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    8, 1.425E+01, 5.483E+02, 2.912E+02, 4.241E+02, 3.868E+02, 1.328E+02, 2.063E+01, 0.000E+00, 7.859E+03, 4.563E+01, 8.853E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
    9, 1.598E+01, 5.981E+02, 2.860E+02, 4.688E+02, 3.944E+02, 1.343E+02, 3.024E+01, 0.000E+00, 7.791E+03, 3.516E+01, 8.540E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   10, 1.276E+01, 5.720E+02, 2.779E+02, 4.715E+02, 3.705E+02, 1.365E+02, 2.428E+01, 0.000E+00, 7.512E+03, 2.512E+01, 1.205E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   11, 1.979E+01, 6.736E+02, 2.692E+02, 3.806E+02, 3.752E+02, 1.325E+02, 1.870E+01, 0.000E+00, 7.192E+03, 3.487E+01, 1.512E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   12, 2.050E+01, 6.234E+02, 2.736E+02, 3.945E+02, 3.826E+02, 1.344E+02, 1.368E+01, 0.000E+00, 7.240E+03, 4.122E+01, 1.484E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   13, 1.789E+01, 6.098E+02, 2.750E+02, 4.142E+02, 3.893E+02, 1.322E+02, 1.295E+01, 0.000E+00, 7.248E+03, 4.208E+01, 1.466E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   14, 1.884E+01, 6.825E+02, 2.733E+02, 4.202E+02, 3.816E+02, 1.259E+02, 3.870E+01, 0.000E+00, 7.118E+03, 3.298E+01, 1.515E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   15, 1.685E+01, 5.192E+02, 2.781E+02, 5.137E+02, 3.876E+02, 1.396E+02, 6.629E+01, 0.000E+00, 7.978E+03, 8.339E+00, 7.005E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   16, 2.627E+01, 4.642E+02, 2.107E+02, 3.750E+02, 3.314E+02, 1.149E+02, 7.517E+01, 0.000E+00, 7.765E+03, 1.228E+01, 1.233E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   17, 4.244E+01, 4.687E+02, 2.110E+02, 3.699E+02, 3.291E+02, 1.166E+02, 7.652E+01, 0.000E+00, 7.736E+03, 2.422E+01, 1.233E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   18, 3.995E+01, 4.863E+02, 2.263E+02, 4.020E+02, 3.618E+02, 1.183E+02, 7.264E+01, 0.000E+00, 7.798E+03, 2.882E+01, 1.073E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   19, 3.782E+01, 4.372E+02, 2.185E+02, 3.695E+02, 3.168E+02, 1.177E+02, 1.121E+02, 0.000E+00, 7.911E+03, 2.332E+01, 1.064E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   20, 1.563E+01, 5.169E+02, 2.776E+02, 4.681E+02, 4.055E+02, 1.343E+02, 9.390E+01, 0.000E+00, 8.124E+03, 7.212E+00, 5.645E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   21, 1.873E+01, 5.731E+02, 2.715E+02, 4.242E+02, 4.193E+02, 1.335E+02, 7.080E+01, 0.000E+00, 7.964E+03, 1.265E+01, 7.196E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   22, 1.861E+01, 6.389E+02, 2.769E+02, 4.258E+02, 4.169E+02, 1.355E+02, 5.491E+01, 0.000E+00, 7.766E+03, 1.905E+01, 8.549E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   23, 1.748E+01, 4.758E+02, 2.785E+02, 4.378E+02, 4.146E+02, 1.349E+02, 5.468E+01, 0.000E+00, 8.217E+03, 1.739E+01, 5.591E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   24, 2.166E+01, 6.402E+02, 2.742E+02, 4.419E+02, 4.012E+02, 1.307E+02, 1.006E+02, 0.000E+00, 7.795E+03, 1.678E+01, 7.859E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   25, 9.590E+00, 5.076E+02, 2.883E+02, 4.787E+02, 3.914E+02, 1.363E+02, 5.318E+01, 0.000E+00, 8.222E+03, 2.465E+01, 4.963E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   26, 1.296E+01, 5.468E+02, 2.813E+02, 3.863E+02, 3.841E+02, 1.323E+02, 1.954E+01, 0.000E+00, 8.060E+03, 3.455E+01, 7.503E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   27, 1.610E+01, 5.051E+02, 2.860E+02, 4.031E+02, 3.969E+02, 1.344E+02, 1.868E+01, 0.000E+00, 8.129E+03, 4.189E+01, 6.765E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   28, 1.485E+01, 5.852E+02, 2.891E+02, 4.105E+02, 3.979E+02, 1.324E+02, 2.542E+01, 0.000E+00, 7.891E+03, 4.164E+01, 8.194E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   29, 1.641E+01, 6.029E+02, 2.847E+02, 4.348E+02, 4.042E+02, 1.323E+02, 3.868E+01, 0.000E+00, 7.892E+03, 3.032E+01, 7.713E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   30, 1.325E+01, 5.919E+02, 2.771E+02, 4.753E+02, 3.842E+02, 1.373E+02, 2.899E+01, 0.000E+00, 7.726E+03, 2.333E+01, 9.510E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   31, 2.203E+01, 6.464E+02, 2.657E+02, 4.019E+02, 3.904E+02, 1.312E+02, 1.921E+01, 0.000E+00, 7.447E+03, 3.120E+01, 1.253E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   32, 2.341E+01, 6.642E+02, 2.678E+02, 3.745E+02, 3.826E+02, 1.336E+02, 1.206E+01, 0.000E+00, 7.302E+03, 3.891E+01, 1.409E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   33, 1.944E+01, 5.345E+02, 2.721E+02, 4.076E+02, 3.959E+02, 1.307E+02, 1.188E+01, 0.000E+00, 7.898E+03, 3.890E+01, 8.992E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   34, 1.990E+01, 6.900E+02, 2.700E+02, 4.524E+02, 3.931E+02, 1.297E+02, 5.051E+01, 0.000E+00, 7.141E+03, 2.819E+01, 1.433E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   35, 1.764E+01, 5.953E+02, 2.757E+02, 4.624E+02, 3.973E+02, 1.325E+02, 8.020E+01, 0.000E+00, 7.915E+03, 1.036E+01, 7.215E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   36, 2.833E+01, 4.670E+02, 2.079E+02, 3.438E+02, 3.367E+02, 1.114E+02, 6.497E+01, 0.000E+00, 7.956E+03, 1.342E+01, 1.078E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   37, 4.737E+01, 4.707E+02, 2.097E+02, 3.483E+02, 3.386E+02, 1.157E+02, 6.925E+01, 0.000E+00, 7.943E+03, 2.531E+01, 1.040E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   38, 4.448E+01, 4.464E+02, 2.108E+02, 3.367E+02, 3.436E+02, 1.129E+02, 6.928E+01, 0.000E+00, 8.020E+03, 2.986E+01, 9.935E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
   39, 3.965E+01, 4.604E+02, 2.118E+02, 3.278E+02, 3.209E+02, 1.131E+02, 1.233E+02, 0.000E+00, 7.986E+03, 2.462E+01, 1.000E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.061E+04
