s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5322906E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5324174E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015061E+000, 3.7744763E+001,-1.2828277E+001, 5.1683431E-001,-3.4064480E-001,-7.2177409E-002, 0.0000000E+000, 0.0000000E+000, 2.4510916E+001, 2.5020498E+001, 0.0000000E+000, 1.0840007E-003, 0.0000000E+000
 2.0008786E+000, 9.7090759E+001,-3.1263755E+001,-4.6474181E-001,-5.9268738E-001,-2.1019335E-001, 0.0000000E+000, 0.0000000E+000, 6.4640938E+001, 6.4559382E+001, 0.0000000E+000, 2.1964790E-003, 0.0000000E+000
 3.0016160E+000, 1.1819608E+002,-3.8309788E+001,-8.2925958E+001,-8.1060857E-001,-2.5870912E-001, 0.0000000E+000, 0.0000000E+000,-3.5490691E+000,-4.1089828E+000, 0.0000000E+000, 2.4248094E-003, 0.0000000E+000
 4.0017214E+000, 1.1541744E+002,-3.7306691E+001,-6.2149930E+001,-6.7840669E-001,-2.5935339E-001, 0.0000000E+000, 0.0000000E+000, 1.5342666E+001, 1.5023058E+001, 0.0000000E+000, 2.4580125E-003, 0.0000000E+000
 5.0015898E+000, 1.1827407E+002,-3.8319920E+001,-8.8795817E+001,-6.9332289E-001,-2.5797805E-001, 0.0000000E+000, 0.0000000E+000,-9.1938533E+000,-9.7929658E+000, 0.0000000E+000, 2.4625460E-003, 0.0000000E+000
 6.0012589E+000, 1.1979223E+002,-3.8759644E+001,-7.8510014E+001,-6.5766050E-001,-2.4951357E-001, 0.0000000E+000, 0.0000000E+000, 2.0425238E+000, 1.6153958E+000, 0.0000000E+000, 2.4631603E-003, 0.0000000E+000
 7.0010228E+000, 1.1663227E+002,-3.7847988E+001,-8.4552132E+001,-6.5479563E-001,-2.5110694E-001, 0.0000000E+000, 0.0000000E+000,-6.1456249E+000,-6.6737581E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0015192E+000, 1.2110343E+002,-3.9365093E+001,-8.1210086E+001,-6.8828801E-001,-2.6081560E-001, 0.0000000E+000, 0.0000000E+000, 2.8831762E-001,-4.2085582E-001, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0012093E+000, 1.1551151E+002,-3.7312813E+001,-8.2807567E+001,-7.5301272E-001,-2.4773941E-001, 0.0000000E+000, 0.0000000E+000,-5.1749896E+000,-5.6096194E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0000605E+001, 1.2264911E+002,-3.9747246E+001,-8.1153525E+001,-6.9490455E-001,-2.6047612E-001, 0.0000000E+000, 0.0000000E+000, 1.3056627E+000, 7.9295374E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000426E+001, 1.1936675E+002,-3.8655584E+001,-7.5709712E+001,-6.8886384E-001,-2.6405578E-001, 0.0000000E+000, 0.0000000E+000, 4.5295552E+000, 4.0485351E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2001638E+001, 1.1669354E+002,-3.7774612E+001,-6.8647459E+001,-6.4296427E-001,-2.5533138E-001, 0.0000000E+000, 0.0000000E+000, 9.7635527E+000, 9.3731692E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3000690E+001, 1.1803724E+002,-3.8217497E+001,-7.9353158E+001,-7.0488605E-001,-2.5491983E-001, 0.0000000E+000, 0.0000000E+000,-1.4963706E-001,-4.9322104E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001148E+001, 1.2104603E+002,-3.9358999E+001,-8.8100822E+001,-6.9021295E-001,-2.5513496E-001, 0.0000000E+000, 0.0000000E+000,-6.7308242E+000,-7.3591433E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1412439E+002,-3.7143628E+001,-8.8187428E+001,-6.8061815E-001,-2.5174994E-001, 0.0000000E+000, 0.0000000E+000,-1.1579858E+001,-1.2139029E+001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
