Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.504E+01, 5.743E+02, 3.007E+02, 6.051E+02, 4.766E+02, 1.796E+02, 1.233E+02, 0.000E+00, 1.618E+04, 9.496E+00, 6.471E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    1, 2.703E+01, 7.244E+02, 2.948E+02, 5.509E+02, 4.870E+02, 1.692E+02, 8.213E+01, 0.000E+00, 1.548E+04, 1.260E+01, 1.285E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    2, 2.840E+01, 7.230E+02, 3.007E+02, 5.637E+02, 4.934E+02, 1.722E+02, 6.721E+01, 0.000E+00, 1.534E+04, 1.898E+01, 1.405E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    3, 2.775E+01, 7.128E+02, 3.032E+02, 5.570E+02, 4.965E+02, 1.720E+02, 6.549E+01, 0.000E+00, 1.537E+04, 1.971E+01, 1.395E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    4, 3.310E+01, 7.282E+02, 2.962E+02, 5.583E+02, 4.709E+02, 1.651E+02, 1.332E+02, 0.000E+00, 1.550E+04, 1.693E+01, 1.218E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    5, 1.955E+01, 6.103E+02, 3.085E+02, 6.188E+02, 4.768E+02, 1.780E+02, 6.491E+01, 0.000E+00, 1.587E+04, 3.178E+01, 9.344E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    6, 2.055E+01, 5.716E+02, 3.084E+02, 5.235E+02, 4.740E+02, 1.676E+02, 2.209E+01, 0.000E+00, 1.595E+04, 4.348E+01, 1.038E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    7, 2.433E+01, 6.514E+02, 3.099E+02, 4.933E+02, 4.782E+02, 1.686E+02, 2.348E+01, 0.000E+00, 1.570E+04, 5.234E+01, 1.220E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    8, 2.385E+01, 6.800E+02, 3.114E+02, 5.162E+02, 4.827E+02, 1.668E+02, 2.883E+01, 0.000E+00, 1.545E+04, 5.063E+01, 1.411E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
    9, 2.671E+01, 7.313E+02, 3.042E+02, 5.787E+02, 4.844E+02, 1.675E+02, 5.552E+01, 0.000E+00, 1.533E+04, 3.666E+01, 1.397E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   10, 2.229E+01, 7.148E+02, 2.968E+02, 5.815E+02, 4.645E+02, 1.688E+02, 4.135E+01, 0.000E+00, 1.491E+04, 2.988E+01, 1.885E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   11, 2.573E+01, 7.844E+02, 2.856E+02, 4.531E+02, 4.459E+02, 1.640E+02, 2.558E+01, 0.000E+00, 1.423E+04, 4.085E+01, 2.666E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   12, 2.837E+01, 7.869E+02, 2.913E+02, 4.673E+02, 4.600E+02, 1.649E+02, 1.644E+01, 0.000E+00, 1.396E+04, 4.724E+01, 2.893E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   13, 2.671E+01, 6.100E+02, 2.953E+02, 4.966E+02, 4.812E+02, 1.647E+02, 1.638E+01, 0.000E+00, 1.555E+04, 4.858E+01, 1.428E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   14, 2.765E+01, 7.759E+02, 2.916E+02, 5.180E+02, 4.613E+02, 1.574E+02, 6.231E+01, 0.000E+00, 1.481E+04, 3.920E+01, 1.976E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   15, 2.479E+01, 6.188E+02, 2.998E+02, 5.867E+02, 4.727E+02, 1.760E+02, 9.845E+01, 0.000E+00, 1.575E+04, 9.972E+00, 1.076E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   16, 2.822E+01, 5.223E+02, 2.632E+02, 4.646E+02, 4.398E+02, 1.590E+02, 6.684E+01, 0.000E+00, 1.591E+04, 1.374E+01, 1.250E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   17, 3.271E+01, 5.387E+02, 2.621E+02, 4.507E+02, 4.291E+02, 1.575E+02, 7.227E+01, 0.000E+00, 1.580E+04, 2.205E+01, 1.348E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   18, 3.807E+01, 5.412E+02, 2.499E+02, 4.395E+02, 4.201E+02, 1.505E+02, 7.770E+01, 0.000E+00, 1.568E+04, 2.508E+01, 1.493E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   19, 4.348E+01, 5.057E+02, 2.521E+02, 4.395E+02, 3.872E+02, 1.530E+02, 1.497E+02, 0.000E+00, 1.590E+04, 2.303E+01, 1.262E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   20, 4.111E+01, 4.923E+02, 2.631E+02, 4.286E+02, 3.617E+02, 1.304E+02, 1.874E+02, 0.000E+00, 1.155E+04, 7.198E+00, 5.652E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   21, 4.845E+01, 4.939E+02, 2.584E+02, 3.972E+02, 3.676E+02, 1.315E+02, 1.425E+02, 0.000E+00, 1.139E+04, 1.328E+01, 5.877E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   22, 4.473E+01, 5.051E+02, 2.660E+02, 3.886E+02, 3.727E+02, 1.331E+02, 1.274E+02, 0.000E+00, 1.131E+04, 1.549E+01, 5.957E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   23, 4.382E+01, 5.370E+02, 2.664E+02, 3.853E+02, 3.677E+02, 1.315E+02, 1.245E+02, 0.000E+00, 1.123E+04, 1.590E+01, 6.014E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   24, 4.984E+01, 5.573E+02, 2.648E+02, 4.033E+02, 3.605E+02, 1.276E+02, 1.926E+02, 0.000E+00, 1.124E+04, 1.545E+01, 5.906E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   25, 3.501E+01, 4.928E+02, 2.739E+02, 4.487E+02, 3.339E+02, 1.308E+02, 1.419E+02, 0.000E+00, 1.170E+04, 2.407E+01, 5.534E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   26, 4.387E+01, 5.158E+02, 2.747E+02, 3.638E+02, 3.478E+02, 1.308E+02, 9.513E+01, 0.000E+00, 1.142E+04, 3.385E+01, 5.892E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   27, 4.531E+01, 4.923E+02, 2.764E+02, 3.884E+02, 3.578E+02, 1.297E+02, 9.482E+01, 0.000E+00, 1.151E+04, 3.998E+01, 5.780E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   28, 4.252E+01, 5.016E+02, 2.759E+02, 3.854E+02, 3.521E+02, 1.255E+02, 1.049E+02, 0.000E+00, 1.144E+04, 4.060E+01, 5.845E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
   29, 4.368E+01, 5.713E+02, 2.712E+02, 4.258E+02, 3.558E+02, 1.300E+02, 1.254E+02, 0.000E+00, 1.120E+04, 3.180E+01, 5.958E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.912E+04
