Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.720E+01, 6.486E+02, 3.176E+02, 6.364E+02, 5.003E+02, 1.947E+02, 1.902E+02, 0.000E+00, 2.667E+04, 1.037E+01, 1.259E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    1, 3.060E+01, 7.983E+02, 3.121E+02, 5.816E+02, 5.133E+02, 1.829E+02, 1.398E+02, 0.000E+00, 2.609E+04, 1.425E+01, 1.791E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    2, 3.147E+01, 8.115E+02, 3.192E+02, 5.804E+02, 5.200E+02, 1.856E+02, 1.146E+02, 0.000E+00, 2.595E+04, 2.166E+01, 1.918E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    3, 3.128E+01, 7.342E+02, 3.191E+02, 5.888E+02, 5.208E+02, 1.850E+02, 1.170E+02, 0.000E+00, 2.617E+04, 2.254E+01, 1.761E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    4, 3.660E+01, 8.704E+02, 3.116E+02, 5.884E+02, 4.967E+02, 1.788E+02, 2.075E+02, 0.000E+00, 2.557E+04, 2.123E+01, 2.169E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    5, 2.208E+01, 6.593E+02, 3.269E+02, 6.484E+02, 5.056E+02, 1.904E+02, 9.783E+01, 0.000E+00, 2.667E+04, 3.472E+01, 1.302E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    6, 2.382E+01, 7.127E+02, 3.251E+02, 5.264E+02, 4.993E+02, 1.802E+02, 2.653E+01, 0.000E+00, 2.621E+04, 4.686E+01, 1.898E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    7, 2.835E+01, 7.228E+02, 3.256E+02, 5.252E+02, 5.031E+02, 1.814E+02, 2.713E+01, 0.000E+00, 2.620E+04, 5.333E+01, 1.883E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    8, 2.752E+01, 7.815E+02, 3.266E+02, 5.311E+02, 5.037E+02, 1.800E+02, 4.264E+01, 0.000E+00, 2.596E+04, 5.305E+01, 2.045E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
    9, 3.037E+01, 7.404E+02, 3.200E+02, 5.870E+02, 5.147E+02, 1.799E+02, 6.317E+01, 0.000E+00, 2.610E+04, 4.093E+01, 1.876E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   10, 2.521E+01, 8.528E+02, 3.118E+02, 5.974E+02, 4.940E+02, 1.881E+02, 5.378E+01, 0.000E+00, 2.537E+04, 3.245E+01, 2.525E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   11, 2.928E+01, 7.673E+02, 3.003E+02, 4.842E+02, 4.786E+02, 1.751E+02, 3.239E+01, 0.000E+00, 2.548E+04, 4.398E+01, 2.659E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   12, 3.172E+01, 8.276E+02, 3.057E+02, 4.851E+02, 4.827E+02, 1.787E+02, 1.483E+01, 0.000E+00, 2.392E+04, 5.193E+01, 4.159E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   13, 2.856E+01, 6.521E+02, 3.119E+02, 5.515E+02, 5.174E+02, 1.782E+02, 1.551E+01, 0.000E+00, 2.628E+04, 5.359E+01, 1.861E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   14, 3.101E+01, 8.382E+02, 3.025E+02, 5.051E+02, 4.763E+02, 1.687E+02, 7.913E+01, 0.000E+00, 2.346E+04, 4.186E+01, 4.554E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   15, 2.981E+01, 6.440E+02, 3.148E+02, 6.307E+02, 4.940E+02, 1.898E+02, 1.485E+02, 0.000E+00, 2.664E+04, 1.113E+01, 1.354E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   16, 3.311E+01, 5.482E+02, 2.856E+02, 4.856E+02, 4.660E+02, 1.734E+02, 1.026E+02, 0.000E+00, 2.673E+04, 1.482E+01, 1.610E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   17, 3.473E+01, 5.411E+02, 2.866E+02, 4.879E+02, 4.624E+02, 1.735E+02, 1.078E+02, 0.000E+00, 2.683E+04, 2.452E+01, 1.504E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   18, 3.804E+01, 5.464E+02, 2.796E+02, 4.643E+02, 4.613E+02, 1.692E+02, 1.101E+02, 0.000E+00, 2.668E+04, 2.635E+01, 1.678E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   19, 4.580E+01, 5.132E+02, 2.787E+02, 4.699E+02, 4.147E+02, 1.697E+02, 2.048E+02, 0.000E+00, 2.705E+04, 2.526E+01, 1.279E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   20, 4.835E+01, 5.081E+02, 2.618E+02, 4.455E+02, 3.580E+02, 1.335E+02, 2.833E+02, 0.000E+00, 1.723E+04, 7.364E+00, 1.118E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   21, 5.499E+01, 5.486E+02, 2.590E+02, 3.991E+02, 3.648E+02, 1.318E+02, 2.329E+02, 0.000E+00, 1.662E+04, 1.271E+01, 1.183E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   22, 5.272E+01, 5.429E+02, 2.661E+02, 3.865E+02, 3.674E+02, 1.320E+02, 2.091E+02, 0.000E+00, 1.693E+04, 1.507E+01, 1.155E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   23, 5.139E+01, 5.141E+02, 2.670E+02, 4.034E+02, 3.665E+02, 1.319E+02, 2.086E+02, 0.000E+00, 1.704E+04, 1.778E+01, 1.146E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   24, 5.857E+01, 5.718E+02, 2.639E+02, 4.236E+02, 3.591E+02, 1.288E+02, 2.982E+02, 0.000E+00, 1.692E+04, 1.814E+01, 1.141E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   25, 4.172E+01, 5.035E+02, 2.734E+02, 4.616E+02, 3.326E+02, 1.315E+02, 2.129E+02, 0.000E+00, 1.742E+04, 2.299E+01, 1.106E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   26, 5.280E+01, 5.081E+02, 2.739E+02, 3.720E+02, 3.488E+02, 1.313E+02, 1.503E+02, 0.000E+00, 1.723E+04, 3.360E+01, 1.136E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   27, 5.289E+01, 4.955E+02, 2.762E+02, 3.933E+02, 3.565E+02, 1.299E+02, 1.503E+02, 0.000E+00, 1.731E+04, 3.917E+01, 1.124E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   28, 4.959E+01, 4.996E+02, 2.750E+02, 3.949E+02, 3.531E+02, 1.264E+02, 1.660E+02, 0.000E+00, 1.713E+04, 4.031E+01, 1.142E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   29, 4.964E+01, 5.561E+02, 2.719E+02, 3.941E+02, 3.481E+02, 1.292E+02, 1.844E+02, 0.000E+00, 1.697E+04, 3.130E+01, 1.152E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
   30, 5.220E+01, 5.513E+02, 2.655E+02, 4.170E+02, 3.296E+02, 1.306E+02, 1.693E+02, 0.000E+00, 1.639E+04, 2.135E+01, 1.213E+04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.045E+04
