s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5325055E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5326324E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015019E+000, 3.7744587E+001,-1.2828588E+001, 5.1682482E-001,-3.4064948E-001,-7.2177239E-002, 0.0000000E+000, 0.0000000E+000, 2.4510410E+001, 2.5019998E+001, 0.0000000E+000, 1.0839973E-003, 0.0000000E+000
 2.0004835E+000, 9.7079074E+001,-3.1262970E+001,-4.5588984E-001,-5.9267367E-001,-2.1017876E-001, 0.0000000E+000, 0.0000000E+000, 6.4639465E+001, 6.4557362E+001, 0.0000000E+000, 2.1964068E-003, 0.0000000E+000
 3.0007267E+000, 1.1809500E+002,-3.8282205E+001,-8.1390533E+001,-7.9113177E-001,-2.5878833E-001, 0.0000000E+000, 0.0000000E+000,-2.0754778E+000,-2.6276615E+000, 0.0000000E+000, 2.4247656E-003, 0.0000000E+000
 4.0019464E+000, 1.1509975E+002,-3.7204155E+001,-6.8290759E+001,-6.7476332E-001,-2.5564786E-001, 0.0000000E+000, 0.0000000E+000, 9.1066855E+000, 8.6744209E+000, 0.0000000E+000, 2.4580073E-003, 0.0000000E+000
 5.0006647E+000, 1.2052068E+002,-3.9029896E+001,-8.7440653E+001,-7.0691336E-001,-2.6392770E-001, 0.0000000E+000, 0.0000000E+000,-6.3466485E+000,-6.9207092E+000, 0.0000000E+000, 2.4625457E-003, 0.0000000E+000
 6.0008473E+000, 1.1693639E+002,-3.7923105E+001,-8.5636376E+001,-7.1118850E-001,-2.5695736E-001, 0.0000000E+000, 0.0000000E+000,-7.1377854E+000,-7.5912361E+000, 0.0000000E+000, 2.4631601E-003, 0.0000000E+000
 7.0015607E+000, 1.1714111E+002,-3.7841021E+001,-7.3660593E+001,-6.5725595E-001,-2.5090681E-001, 0.0000000E+000, 0.0000000E+000, 5.2365561E+000, 4.7313343E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0015364E+000, 1.2068022E+002,-3.9123813E+001,-8.4478861E+001,-6.6749637E-001,-2.4850911E-001, 0.0000000E+000, 0.0000000E+000,-3.2638005E+000,-3.8384623E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0008535E+000, 1.1903624E+002,-3.8506985E+001,-7.0757097E+001,-6.6823586E-001,-2.5643613E-001, 0.0000000E+000, 0.0000000E+000, 9.4058233E+000, 8.8474888E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0000450E+001, 1.1770526E+002,-3.8067653E+001,-8.2982220E+001,-6.8031424E-001,-2.5067515E-001, 0.0000000E+000, 0.0000000E+000,-3.7696802E+000,-4.2756027E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1001075E+001, 1.1906648E+002,-3.8621794E+001,-8.1411451E+001,-7.0074226E-001,-2.5289385E-001, 0.0000000E+000, 0.0000000E+000,-1.4038453E+000,-1.9204041E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000928E+001, 1.1939537E+002,-3.8617803E+001,-7.9927738E+001,-6.8815118E-001,-2.5622147E-001, 0.0000000E+000, 0.0000000E+000, 3.8315600E-001,-9.4547993E-002, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3001377E+001, 1.1903996E+002,-3.8577601E+001,-7.9310905E+001,-6.9038027E-001,-2.5935288E-001, 0.0000000E+000, 0.0000000E+000, 7.1198329E-001, 2.0172445E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001743E+001, 1.1710777E+002,-3.8038140E+001,-7.5467129E+001,-6.5514117E-001,-2.5769586E-001, 0.0000000E+000, 0.0000000E+000, 3.1237088E+000, 2.6896662E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1866568E+002,-3.8422258E+001,-8.2092747E+001,-7.1512268E-001,-2.5060338E-001, 0.0000000E+000, 0.0000000E+000,-2.1140680E+000,-2.8150514E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
