s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5301888E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5303157E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0018084E+000, 3.7768252E+001,-1.2834738E+001, 5.1719494E-001,-3.4074983E-001,-7.2209032E-002, 0.0000000E+000, 0.0000000E+000, 2.4528834E+001, 2.5037750E+001, 0.0000000E+000, 1.0842402E-003, 0.0000000E+000
 2.0005004E+000, 9.7043676E+001,-3.1245024E+001,-1.5088885E+000,-5.9214884E-001,-2.0983253E-001, 0.0000000E+000, 0.0000000E+000, 6.3579045E+001, 6.3487782E+001, 0.0000000E+000, 2.1965073E-003, 0.0000000E+000
 3.0008683E+000, 1.1748521E+002,-3.8033705E+001,-7.4420158E+001,-7.9923928E-001,-2.5867721E-001, 0.0000000E+000, 0.0000000E+000, 4.5145638E+000, 3.9734266E+000, 0.0000000E+000, 2.4247707E-003, 0.0000000E+000
 4.0013909E+000, 1.1787525E+002,-3.8139018E+001,-8.2207708E+001,-7.0085095E-001,-2.5919721E-001, 0.0000000E+000, 0.0000000E+000,-2.9660144E+000,-3.4315243E+000, 0.0000000E+000, 2.4580058E-003, 0.0000000E+000
 5.0004859E+000, 1.1708578E+002,-3.8006914E+001,-8.4528854E+001,-8.0804041E-001,-2.5402314E-001, 0.0000000E+000, 0.0000000E+000,-5.9728626E+000,-6.5120506E+000, 0.0000000E+000, 2.4625451E-003, 0.0000000E+000
 6.0010991E+000, 1.1916354E+002,-3.8656626E+001,-7.0985097E+001,-7.0375618E-001,-2.5474323E-001, 0.0000000E+000, 0.0000000E+000, 9.0624331E+000, 8.5633210E+000, 0.0000000E+000, 2.4631601E-003, 0.0000000E+000
 7.0004296E+000, 1.1628585E+002,-3.7727025E+001,-8.6448345E+001,-6.1850673E-001,-2.4648739E-001, 0.0000000E+000, 0.0000000E+000,-8.2302219E+000,-8.7545136E+000, 0.0000000E+000, 2.4632435E-003, 0.0000000E+000
 8.0013380E+000, 1.2056113E+002,-3.9056304E+001,-7.7975577E+001,-6.5785135E-001,-2.5008678E-001, 0.0000000E+000, 0.0000000E+000, 3.1078705E+000, 2.6213150E+000, 0.0000000E+000, 2.4632547E-003, 0.0000000E+000
 9.0010252E+000, 1.1961909E+002,-3.8710654E+001,-8.1508558E+001,-7.4501960E-001,-2.6061343E-001, 0.0000000E+000, 0.0000000E+000,-1.1073880E+000,-1.6057567E+000, 0.0000000E+000, 2.4632563E-003, 0.0000000E+000
 1.0000869E+001, 1.1863377E+002,-3.8467039E+001,-7.7957312E+001,-6.9192091E-001,-2.5954423E-001, 0.0000000E+000, 0.0000000E+000, 1.6624049E+000, 1.2579502E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.1000131E+001, 1.1703919E+002,-3.7931797E+001,-7.7373785E+001,-6.6757700E-001,-2.5992436E-001, 0.0000000E+000, 0.0000000E+000, 1.4986385E+000, 8.0611023E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.2000722E+001, 1.2088449E+002,-3.9234961E+001,-7.9556883E+001,-7.2068643E-001,-2.6283958E-001, 0.0000000E+000, 0.0000000E+000, 1.6858845E+000, 1.1091214E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.3001981E+001, 1.1621204E+002,-3.7543339E+001,-8.1710058E+001,-6.4772793E-001,-2.4975581E-001, 0.0000000E+000, 0.0000000E+000,-3.2565135E+000,-3.9388378E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.4001640E+001, 1.2152195E+002,-3.9476411E+001,-8.1611887E+001,-6.9390899E-001,-2.5499086E-001, 0.0000000E+000, 0.0000000E+000,-1.5136971E-001,-5.1524630E-001, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
 1.5000000E+001, 1.1767971E+002,-3.8220632E+001,-8.3096543E+001,-6.8714283E-001,-2.5234093E-001, 0.0000000E+000, 0.0000000E+000,-3.9447347E+000,-4.5769531E+000, 0.0000000E+000, 2.4632565E-003, 0.0000000E+000
